SEQ_NUMBER,DBKEY,AUDITYEAR,FINDINGREFNUMS,TEXT,CHARTSTABLES,REPORTID,VERSION,UEI,MULTIPLEUEIS
19052,191862,2020,2020-001,"Item 2020-001:	Late submission of the single audit reporting package and data collection
		form to the Federal Audit Clearinghouse (“FAC”)

Criteria:	The single audit reporting package and data collection form shall be 					                            submitted to FAC within thirty days after receipt of the auditor’s report, or 
		nine months after the end of the fiscal year, whichever comes first.

Condition:	Submission of the single audit reporting package and data collection form
		to FAC was not done within the timeframe as required by the Uniform 
		Guidance.

Context:	During the audit, we noted that the single audit reporting package and data
		collection form for FY2019 due to the FAC by March 31, 2020, was not submitted until November 13, 2020.

Effect:		Late filing will result in noncompliance with timely submission of financial information to grantor agencies.

Cause:	Due date was during COVID shutdown and procedures were not in place to ensure the timely filing of the single audit reporting package and data collection form to the FAC.

Recommendation:	We recommend management strengthen its procedures over filing of the single audit reporting package and data collection form with FAC to ensure timely filing.

Management’s
response:	Management concurs with the finding.  Additional procedures will be 					established to help ensure timely filing of the single audit reporting package and data collection form to the FAC.
",N,876576,1,,
20903,183173,2020,2020-002,"2020 – 002: NSLDS Enrollment Reporting
Federal Agency: Department of Education
Federal Program Title: Student Financial Assistance Cluster
CFDA Number:
84.268 – Federal Direct Student Loans
Award Period: July 1, 2019 – June 30, 2020
Compliance Requirement: Special Tests and Provisions
Type of Finding:
• Significant Deficiency in Internal Control over Compliance, Other Matters
Criteria or specific requirement: All schools participating (or approved to participate) in the
Federal Student Aid programs must have an arrangement to report student enrollment data to the
NSLDS through a Roster file (formerly called the Student Status Confirmation Report or SSCR).
The School is required to report changes in the student’s enrollment status, the effective date of
the status and an anticipated completion date. Changes in enrollment to less than half-time,
graduated, or withdrawn status must be reported within 30 days. However, if a Roster file is
expected within 60 days, you may provide the data on that Roster file (34CFR section 682.610).
Condition: The College did not report enrollment changes within the required 60 day timeframe
for one student in the sample tested.
Questioned costs: None.
Context: For 1 of 60 status changes tested, the student's enrollment statuses were not reported
timely.                                                                                                                     
Cause: The College’s processes and controls did not ensure that student status changes were
timely reported to NSLDS.
Effect: The NSLDS system is not updated with the student information in a timely manner which
can cause over awarding and the students may not properly enter the repayment period.
Repeat Finding: Yes, reported as 2015-01, 2016-002, 2017-004, 2018-003, and 2019-003.
Recommendation: We recommend the College review its reporting procedures to ensure that
students’ statuses are accurately and timely reported to NSLDS as required by regulations.",N,876374,1,,
31419,192173,2020,2020-003,"FINDING 2020-003
Subject: Title I to Local Educational Agencies - Eligibility, Level
of Effort - Maintenance of Effort, Reporting
Federal Agency: Department of Education
Federal Program: Title I Grants to Local Educational Agencies
CFDA Number: 84.010
Federal Award Numbers and Years (or Other Identifying Numbers): S010A150014, S010A180014
Pass-Through Entity: Indiana Department of Education
Compliance Requirements: Eligibility; Matching, Level of Effort, Earmarking; Reporting
Audit Finding: Material Weakness
Condition and Context
An effective internal control system was not in place at the School Corporation to ensure compliance
with requirements related to the grant agreement and the Eligibility; Matching, Level of Effort,
Earmarking; and Reporting compliance requirements.
Eligibility
The School Corporation utilized computer software to determine eligibility. The Food Service
Director/Coordinator was responsible for verifying the computer software made the correct
determination by reviewing every fifth application verified by the computer software. There was
no evidence of this review to ensure the eligibility determinations made by the software system
were accurate.
There was no evidence of internal control over the October Real Time Report. The Information
Technology (IT) employee uploaded the Real Time Report into the STN website. Any discrepancies
found were communicated to the appropriate building secretary or registrar to verify
enrollment and resolve conflicts. However, the IT employee was unable to provide adequate
documentation of communication with the building secretaries or registrars to support the
resolution on the enrollment errors made by the IT employee during the audit period.
The Title I Grant Coordinator entered the nonpublic information into the Title I application
manually. There was no evidence of review or oversight to ensure that the information entered
was accurate.
Matching, Level of Effort, Earmarking and Reporting
The financial information submitted by the School Corporation to the Indiana Department of
Education through the Form 9 reports was used to calculate the School Corporation's level of
effort, as well as complete the State Per Pupil Expenditure Report.
The Payroll Clerk ran payroll in Skyward and verified the Summary Report after payroll was
prepared. There was no oversight or review process in place over payroll at the School
Corporation level to ensure the data used to complete the Form 9 was reported accurately in
the correct fund, account, and object code.
The Title I Grant Coordinator included the methodology from the budget process into the Title
I application to ensure the School Corporation was not supplanting. There was no oversight or
review process to ensure the methodology was properly implemented.
The lack of internal controls was a systemic issue throughout the audit period.
Criteria
2 CFR 200.303 states in part:
""The non-Federal entity must:
(a) Establish and maintain effective internal control over the Federal award that provides
reasonable assurance that the non-Federal entity is managing the Federal award in
compliance with Federal statutes, regulations, and the terms and conditions of the Federal
award. These internal controls should be in compliance with guidance in 'Standards for
Internal Control in the Federal Government' issued by the Comptroller General of the
United States or the 'Internal Control Integrated Framework', issued by the Committee of
Sponsoring Organizations of the Treadway Commission (COSO). . . .""
Cause
Management had not developed a system of internal controls that would have ensured compliance
with requirements related to the grant agreement and the Eligibility; Matching, Level of Effort, Earmarking;
and Reporting compliance requirements.
Effect
The failure to design and implement a system of internal controls placed the School Corporation at
risk of noncompliance with the grant agreement and the Eligibility; Matching, Level of Effort, Earmarking;
and Reporting compliance requirements.
Questioned Costs
There were no questioned costs identified.
Recommendation
We recommended that the School Corporation's management establish a system of internal controls
related to the grant agreement and the Eligibility; Matching, Level of Effort, Earmarking; and Reporting
compliance requirements.
Views of Responsible Officials
For the views of responsible officials, refer to the Corrective Action Plan that is part of this report.",N,895014,1,,
31420,192173,2020,2020-005,"FINDING 2020-005
Subject: Special Education Cluster (IDEA) - Earmarking
Federal Agency: Department of Education
Federal Programs: Special Education Grants to States, Special Education Preschool Grants
CFDA Numbers: 84.027, 84.173
Federal Award Numbers (or Other Identifying Numbers): 18611-055-PN01, 18619-055-PN01,
19611-055-PN01
Pass-Through Entity: Indiana Department of Education
Compliance Requirement: Matching, Level of Effort, Earmarking
Audit Findings: Material Weakness, Modified Opinion
Repeat Finding
This is a repeat finding from the immediately prior audit report. The prior audit finding number was
2018-013.
Condition and Context
An effective internal control system was not in place at the School Corporation and at the South
LaPorte County Special Education Cooperative (Cooperative) to ensure compliance with the grant agreement
and the earmarking requirements of the Matching, Level of Effort, Earmarking compliance requirement.
The Cooperative was a planning district whose purpose was to provide free appropriate public
education to students identified as disabled in accordance with state statute who were legal residents and/or
have been accepted through means of open enrollment, or other legal means of transfer to the participating
member school corporations in LaPorte County. The School Corporation was the administrator of this
Cooperative.
The School Corporation and the Cooperative did not maintain adequate supporting documentation
used to calculate the amount of special education and related services that were provided to students in
nonpublic schools and facilities for grants 18611-055-PN01 and 18619-055-PN01. Additionally, adequate
supporting documentation was not maintained for the second quarter of the 19611-055-PN01 grant. Since
we could not determine if the transactions were properly classified as nonpublic school expenditures, we
were unable to determine compliance with the earmarking requirements.
Criteria
2 CFR 200.303 states in part:
""The non-Federal entity must:
(a) Establish and maintain effective internal control over the Federal award that provides
reasonable assurance that the non-Federal entity is managing the Federal award in
compliance with Federal statutes, regulations, and the terms and conditions of the Federal
award. These internal controls should be in compliance with guidance in 'Standards for
Internal Control in the Federal Government' issued by the Comptroller General of the
United States or the 'Internal Control Integrated Framwork', issued by the Committee of
Sponsoring Organizations of the Treadway Commission (COSO). . . .""
2 CFR 200.207(a) states in part: ""The Federal awarding agency or pass-through entity may impose
additional specific award conditions as needed . . .""
511 IAC 7-34-7(b) states:
""The public agency, in providing special education and related services to students in nonpublic
schools must expend at least an amount that is the same proportion of the public agency total
subgrant under 20 U.S.C. 1411(f) as the number of nonpublic school students with disabilities,
who are enrolled by their parents in nonpublic schools within its boundaries, is to the total
number of students with disabilities of the same age range.""
Cause
The School Corporation had not established a system of internal controls to ensure compliance
with the grant agreement and the earmarking requirement of the Matching, Level of Effort, Earmarking
compliance requirement.
Effect
The failure to maintain and provide appropriate supporting documentation prevented the determination
of the School Corporation's compliance with the earmarking requirements of the Matching, Level
of Effort, Earmarking compliance requirement.
Questioned Costs
There were no questioned costs identified.
Recommendation
We recommended that the School Corporation's management establish a system of internal controls
and maintain adequate supporting documentation to ensure compliance with the grant agreement and
the earmarking requirements of the Matching, Level of Effort, Earmarking compliance requirement.
Views of Responsible Officials
For the views of responsible officials, refer to the Corrective Action Plan that is part of this report.",N,895014,1,,
31421,192173,2020,2020-002,"FINDING 2020-002
Subject: Child Nutrition Cluster - Internal Control
Federal Agency: Department of Agriculture
Federal Programs: School Breakfast Program, National School Lunch Program
CFDA Number: 10.553, 10.555
Federal Award Numbers and Years (or Other Identifying Numbers): FY 18-19, FY 19-20
Pass-Through Entity: Indiana Department of Education
Compliance Requirements: Eligibility, Program Income
Audit Finding: Material Weakness
Condition and Context
An effective internal control system was not in place at the School Corporation to ensure compliance
with requirements related to the grant agreement and the Eligibility and Program Income compliance
requirements.
Eligibility
The School Corporation utilized computer software to determine eligibility. The Food Service
Director/Coordinator was responsible for verifying the computer software made the correct
determination by reviewing every fifth application verified by the computer software. There was
no evidence of this review to ensure the eligibility determinations made by the software system
were accurate.
Program Income - Assessing
The Food Service Coordinator was responsible for verifying that the approved school food
prices were properly entered into the software system. There was no evidence of the Food
Service Coordinator's review of the entered prices that would have ensured sales to students
and adults were properly assessed.
The lack of internal controls was a systemic issue throughout the audit period.
Criteria
2 CFR 200.303 states in part:
""The non-Federal entity must:
(a) Establish and maintain effective internal control over the Federal award that provides
reasonable assurance that the non-Federal entity is managing the Federal award in
compliance with Federal statutes, regulations, and the terms and conditions of the Federal
award. These internal controls should be in compliance with guidance in 'Standards for
Internal Control in the Federal Government' issued by the Comptroller General of the
United States or the 'Internal Control Integrated Framework', issued by the Committee of
Sponsoring Organizations of the Treadway Commission (COSO). . . .""
Cause
Management had not developed a system of internal controls that would have ensured compliance
with the grant agreement and the Eligibility and Program Income compliance requirements.
Effect
The failure to establish an effective internal control system placed the School Corporation at risk of
noncompliance with the grant agreement and the Eligibility and Program Income compliance requirements.
Questioned Costs
There were no questioned costs identified.
Recommendation
We recommended that the School Corporation's management establish an effective system of
internal controls to ensure compliance with the grant agreement and the Eligibility and Program Income
compliance requirements.
Views of Responsible Officials
For the views of responsible officials, refer to the Corrective Action Plan that is part of this report.",N,895014,1,,
31422,192173,2020,2020-004,"FINDING 2020-004
Subject: Special Education Cluster (IDEA) - Activities Allowed
or Unallowed, Allowable Costs/Cost Principles
Federal Agency: Department of Education
Federal Programs: Special Education Grants to States, Special Education Preschool Grants
CFDA Numbers: 84.027, 84.173
Federal Award Numbers and Years (or Other Identifying Numbers): 18619-055-PN01, 19611-055-PN01,
19619-055-PN01, 20611-053-PN01
Pass-Through Entity: Indiana Department of Education
Compliance Requirements: Activities Allowed or Unallowed, Allowable Costs/Cost Principles
Audit Finding: Material Weakness
Condition and Context
An effective internal control system was not in place at the School Corporation and the South
LaPorte County Special Education Cooperative (Cooperative) to ensure compliance with the grant agreement
and the Activities Allowed or Unallowed and Allowable Costs/Cost Principles compliance requirements.
The Cooperative was a planning district whose purpose was to provide free appropriate public
education to students identified as disabled in accordance with state statute who were legal residents and/or
have been accepted through means of open enrollment, or other legal means of transfer to the participating
member school corporations in LaPorte County. The School Corporation was the administrator of this
Cooperative.
The School Corporation had not designed or implemented adequate internal controls to ensure that
all activities and costs were allowed. The payroll disbursements were prepared by the Payroll Department
without oversight or review.
The lack of internal controls was a systemic issue throughout the audit period.
Criteria
2 CFR 200.303 states in part:
""The non-Federal entity must:
(a) Establish and maintain effective internal control over the Federal award that provides
reasonable assurance that the non-Federal entity is managing the Federal award in
compliance with Federal statutes, regulations, and the terms and conditions of the Federal
award. These internal controls should be in compliance with guidance in 'Standards for
Internal Control in the Federal Government' issued by the Comptroller General of the
United States or the 'Internal Control Integrated Framwork', issued by the Committee of
Sponsoring Organizations of the Treadway Commission (COSO). . . .""
Cause
The School Corporation had not developed a system of internal controls that would have ensured
compliance with the grant agreement and the Activities Allowed or Unallowed and the Allowable Costs/Cost
Principles compliance requirements.
Effect
The failure to establish an effective internal control system placed the School Corporation at risk of
noncompliance with the grant agreement and the Activities Allowed or Unallowed and the Allowable
Costs/Cost Principles compliance requirements. A lack of an internal control system could have also
allowed noncompliance with the compliance requirements and allowed the misuse and mismanagement of
federal funds and assets by not having proper oversight, reviews, and approvals over the activities of the
program.
Questioned Costs
There were no questioned costs identified.
Recommendation
We recommended that the School Corporation's management establish internal controls to ensure
compliance with the grant agreement and the Activities Allowed or Unallowed and the Allowable Costs/Cost
Principles compliance requirements.
Views of Responsible Officials
For the views of responsible officials, refer to the Corrective Action Plan that is part of this report.",N,895014,1,,
16667,117467,2020,2020-003,"Finding # 2020-003 (repeat of 2019-003)
Type: 	Federal Award – Material weakness, Noncompliance

CFDA Number:
U.S. Department of Housing and Urban Development
14.267 Continuum of Care

Requirement:
The Organization is required to monitor activities of subrecipients in accordance with federal regulations. 

Condition/Context: 
The single audit of the subrecipient reported findings under the CFDA contract passed through from the Organization and the Organization did not take actions to resolve the findings with the subrecipients during the fiscal year. 

Cause: 
The Organization’s procedures and policies to audit and review the subrecipient’s activities were not adequate to detect and correct activities of noncompliance. 

Effect: 
Costs expended through subrecipient awards could be ineligible for the program.

Questioned Costs:
Approximately $57,000

Recommendation:
We recommend that supervisors amend subrecipient auditing procedures to ensure a proper system is in place to monitor, detect and take timely follow-up action on any issues identified in site visits and internal or external audits. The Organization might consider a control checklist/sheet and/or set of questionnaires to ensure that all compliance requirements have been considered and documented.

Management’s Response:
Self Enhancement, Inc. (SEI) has been closely working with the subrecipient to review and resolve findings identified on their last Single Audit and received a draft copy in June 2020 with the final version at the end of September 2020 and are in the process of finalizing the review and response.
",N,862171,1,,
16668,117467,2020,2020-001,"Finding # 2020-001 (repeat of 2019-001)
Type: 	Federal Award – Material weakness

CFDA Number:
U.S. Department of Housing and Urban Development
14.267 Continuum of Care

Requirement:
Case files are required to be reviewed and eligibility to be approved by supervisory personnel. 

Condition/Context: 
Out of a sample of 14 selected for testing, 5 case files were missing supervisory review. Procedures for reviewing eligibility were not in place or carried out. 

Cause: 
Case files are maintained in paper copies. Due to the impact of COVID-19, there were challenges completing the case file review. The Organization should have additional follow up procedures in place to ensure that case files are reviewed.

Effect: 
Participants and costs could be ineligible for the program or case files could be missing required paperwork.

Questioned Costs:
Unknown

Recommendation:
Procedures should be put in place to ensure reviews are completed timely. This might include considering moving files to electronic format or further developing the process for monitoring to ensure all reviews are completed. 

Management’s Response:
Improvements has been made in the year ended June 30, 2020, but full compliance was impacted by moving to a remote work environment due the impact of COVID-19.  Management will review Self Enhancement, Inc.’s file review policy and update it for work performed in a remote environment.
",N,862171,1,,
16669,117467,2020,2020-002,"Finding # 2020-002 (repeat of 2019-002)
Type: 	Federal Award – Significant Deficiency, Immaterial Noncompliance

CFDA Number:
U.S. Department of Housing and Urban Development
14.267 Continuum of Care

Requirement:
The Organization is required to minimize the time elapsing between the transfer of funds from U.S. Treasury and the disbursement of funds for direct program or project costs and the proportionate share of allowable indirect costs. 

Condition/Context: 
The Organization held funds in excess of program disbursements related to prior periods.

Cause: 
Draws were based on estimated expenditures; however, actual program costs were incurred at a slower rate than anticipated resulting in excess draw amounts on hand in the previous year. 

Effect: 
The Organization could overdraw on the contract funds. 

Questioned Costs:
None

Recommendation:
The Organization should request a fund draw after programmatic disbursements are made to ensure accurate amounts are requested. The Organization has modified the process during the fiscal year and identified funds overdrawn from prior period.

Management’s Response:
Self Enhancement, Inc. has disbursed the funds held in excess of program disbursements related to prior periods, subsequent to June 30, 2020.
",N,862171,1,,
33351,176876,2020,2020-001,"Finding 2020-001
Federal Agency: U.S. Department of Agriculture
Federal Program Titles: Rural Rental Housing Loans Program
Federal Catalog Numbers: 10.415
Material Noncompliance - Reserve for Replacement
Non Compliance Material to the Financial Statements: No
Significant Deficiency in Internal Controls over Compliance
Criteria: Reserve for Replacements. The Authority is required to make monthly deposits to the Reserve for Replacement for the U.S. Department of Agriculture multi-family property known as Pine Terrace Apartments. These required monthly deposits are based on a stated amount in the U.S. Department of Agriculture approved Multi-Family Housing Project Budget.
Condition: Based upon inspection of the Authority's Reserve for Replacement bank statements and on discussions with management, the Replacement Reserve was not funded as required during the audit period.
Context: During the audit period only Authority made deposits to the Reserve for Replacements totaling$4,680 of the $17,600 required deposit. This had resulted in the Reserve for Replacements being underfunded.
Known Questioned Costs: $12,920
Cause: There is a significant deficiency in internal controls over the compliance related to the maintenance of the reserve for replacements.
Effect: The Rural Rental Housing Loan Program is in non-compliance with the required deposits to the Reserve for Replacements.
Recommendation: We recommend the Authority design and implement internal control procedures that will reasonably assure compliance with the Uniform Guidance and U.S. Department of Agricultures approved Multi-Family Housing Project Budget, to make the required monthly deposits to the Replacement Reserve.
",N,918267,1,,
