ELECAUDITHEADERID,ID,AUDITYEAR,DBKEY,FYENDDATE,AUDITTYPE,PERIODCOVERED,NUMBERMONTHS,MULTIPLEEINS,EIN,EINSUBCODE,MULTIPLEDUNS,DUNS,AUDITEENAME,STREET1,STREET2,CITY,STATE,ZIPCODE,AUDITEECONTACT,AUDITEETITLE,AUDITEEPHONE,AUDITEEFAX,AUDITEEEMAIL,AUDITEEDATESIGNED,AUDITEENAMETITLE,CPAFIRMNAME,CPASTREET1,CPASTREET2,CPACITY,CPASTATE,CPAZIPCODE,CPACONTACT,CPATITLE,CPAPHONE,CPAFAX,CPAEMAIL,CPADATESIGNED,CPANAMETITLE,COG_OVER,COGAGENCY,TYPEREPORT_FS,REPORTABLECONDITION,MATERIALWEAKNESS,MATERIALNONCOMPLIANCE,GOINGCONCERN,TYPEREPORT_MP,DOLLARTHRESHOLD,LOWRISK,REPORTREQUIRED,TOTFEDEXPEND,COPIES,REPORTABLECONDITION_MP,MATERIALWEAKNESS_MP,QCOSTS,CYFINDINGS,PYSCHEDULE,DUP_REPORTS,COG_AGENCY,OVERSIGHTAGENCY,DATERECEIVED,DATEFIREWALL,PREVIOUSDATEFIREWALL,FINDINGREFNUM,TYPEOFENTITY,IMAGE,AGENCYCFDA,INITIALDATE,DATERECEIVEDOTHER,MULTIPLE_CPAS,AUDITEECERTIFYNAME,AUDITEECERTIFYTITLE,FACACCEPTEDDATE,AUDITOR_EIN,SD_MATERIALWEAKNESS,SD_MATERIALWEAKNESS_MP,SIGNIFICANTDEFICIENCY,SIGNIFICANTDEFICIENCY_MP,SP_FRAMEWORK,SP_FRAMEWORK_REQUIRED,TYPEREPORT_SP_FRAMEWORK,SUPPRESSION_CODE,ENTITY_TYPE,TYPEAUDIT_CODE,OPEID,DATETOED,DATEFINISHED,TYPEFINDING,TYPEFUNDING,FYSTARTDATE,CPAFOREIGN,UEI,MULTIPLEUEIS,CPACOUNTRY
1377898,1138142020,2020,113814,06/30/2020 00:00:00,S,A,,N,910617727,,N,009051897,WALLA WALLA UNIVERSITY,204 SOUTH COLLEGE PLACE,,WALLA WALLA,WA,993241198,ERIC JAMES,CONTROLLER,5095272104,,ERIC.JAMES@WALLAWALLA.EDU,05/19/2021 16:29:14,KEN VYHMEISTER-AVP FINANCIAL ADMINISTRATION,"BKD, LLP",200 EAST MAIN STREET ,,FORT WAYNE,IN,468021900,ADAM SMITH,PARTNER,2604604000,,ASMITH@BKD.COM,05/05/2021 15:47:12,,O,,U,N,N,N,N,U,750000,Y,,19829857,,N,N,N,N,N,N,,84,05/19/2021 00:00:00,05/21/2021 01:30:03,,N,904,1,x00,05/19/2021 00:00:00,,N,KEN VYHMEISTER,AVP FINANCIAL ADMINISTRATION,05/19/2021 00:00:00,440160260,N,,N,N,,,,,Institution of higher education (IHE),UG,00379900,05/21/2021 10:45:22,05/27/2021 07:14:14,N,B,07/01/2019 00:00:00,,,,US
1363576,2130652020,2020,213065,06/30/2020 00:00:00,S,A,,N,232963763,,N,158797717,"MATHEMATICS, SCIENCE AND TECHNOLOGY COMMUNITY CHARTER SCHOOL",1800 EAST BYBERRY ROAD,,PHILADELPHIA,PA,191163012,MICHAEL THOMSON,CONTROLLER,8565051300,,MTHOMSON@S-TMAIL.COM,01/13/2021 16:32:58,MICHAEL C THOMSON-CONTROLLER,CANTOR NOVAK BEAVER & PIKE PC,"41 UNIVERSITY DRIVE, SUITE 401",,NEWTOWN,PA,18940,"DANIEL D. PIKE, CPA",SHAREHOLDER,2155502952,,DPIKE@CNBPCPAS.COM,01/15/2021 14:44:51,,O,,U,N,N,N,N,U,750000,Y,,1776934,,N,N,N,N,N,N,,84,01/15/2021 00:00:00,01/22/2021 01:30:03,,N,505,1,x00,01/15/2021 00:00:00,,N,MICHAEL C THOMSON,CONTROLLER,01/15/2021 00:00:00,270710060,N,,N,N,,,,,Non-profit,UG,,01/23/2021 14:53:23,01/28/2021 15:12:07,,N,07/01/2019 00:00:00,,,,US
1434503,2509342020,2020,250934,12/31/2020 00:00:00,S,A,,N,352166123,,N,962004565,"SER FAMILIA, INC",1000 COBB PLACE BLVD SUITE 170,,KENNESAW,GA,30144,BELISA URBINA,CEO,6783633079,,BELISA@SERFAM.ORG,06/15/2022 17:26:18,BELISA URBINA-CEO,"XTRATEGIST FINANCIAL, LLC",1165 NORTHCHASE PKWY SE #180,,MARIETTA,GA,30067,SALVADOR ALVARADO,MANAGING PARTNER,4047208283,,SAL.ALVARADO@XTRATEGIST.COM,06/06/2022 17:50:46,,O,,U,N,N,N,N,U,750000,Y,,2173221,,N,N,N,N,N,N,,16,06/15/2022 00:00:00,06/17/2022 01:30:04,,N,888,1,x00,08/13/2021 00:00:00,,N,BELISA URBINA,CEO,08/13/2021 00:00:00,814140276,N,,N,N,,,,,Non-profit,UG,,,,,,01/01/2020 00:00:00,,,,
1371263,2325822020,2020,232582,12/31/2020 00:00:00,S,A,,N,261415209,,N,831334375,CREATIVE HOUSING INC. VI,2233 CITYGATE DRIVE,,COLUMBUS,OH,43219,RANDY MILLER,CFO,6144187725,,RMILLER@CREATIVEHOUSING.ORG,03/03/2021 11:39:14,RANDY MILLER-CFO,"STEMEN, MERTENS, STICKLER, CPAS & ASSOCIATES","370 S 5TH STREET, SUITE 1",,COLUMBUS,OH,43215,JOSH SMITH,AUDIT PARTNER,6142240955,,JSMITH@SMS-CPAS.COM,03/03/2021 11:29:41,,O,,U,N,N,N,N,U,750000,Y,,1027776,,N,N,N,N,N,N,,14,03/03/2021 00:00:00,03/05/2021 01:30:03,,N,903,1,x00,03/03/2021 00:00:00,,N,RANDY MILLER,CFO,03/03/2021 00:00:00,205511881,N,,N,N,,,,,Non-profit,UG,,,,,,01/01/2020 00:00:00,,,,US
1393672,2306002020,2020,230600,12/31/2020 00:00:00,S,A,,N,352379093,,N,092809505,"ANITA MOREAU ""FOOD PROGRAM SPECIALIST""",17150 NORTHCREST CIRCLE,,NEW CANEY,TX,77357,JAMES MOREAU,EXECUTIVE DIRECTOR,2814336181,,ANITAMOREAU4@GMAIL.COM,09/29/2021 15:01:57,JUANITA MOREAU-FINANCE,MILLER MUSMAR,"12353 SUNRISE VALLEY DR., SUITE A",,RESTON,VA,20191,STEVEN BRILLION,CPA,7034378877,,STEVENB@MILLERMUSMAR.COM,09/29/2021 15:22:08,,O,,U,N,N,N,N,U,750000,N,,4566424,,N,N,N,N,N,N,,10,09/29/2021 00:00:00,10/01/2021 01:30:03,,N,908,1,x00,09/29/2021 00:00:00,,N,JUANITA MOREAU,FINANCE,09/29/2021 00:00:00,522010201,N,,N,N,,,,,Non-profit,UG,,,,,,01/01/2020 00:00:00,,,,US
1353286,2307302020,2020,230730,03/31/2020 00:00:00,S,A,,N,030274412,,N,606012599,"NORTHEAST EMPLOYMENT AND TRAINING ORGANIZATION, INC.",PO BOX 584,,NEWPORT,VT,05855,JAMES RYAN,EXECUTIVE DIRECTOR,8023347378,,JIM.RYAN@VTNETO.ORG,11/11/2020 13:53:50,JAMES RYAN-EXECUTIVE DIRECTOR,"LEONE, MCDONNELL & ROBERTS, P.A.",61 SOUTH MAIN STREET,,WOLFEBORO,NH,03894,EVAN J STOWELL,SHAREHOLDER,6035691953,,ESTOWELL@LMRPA.COM,11/11/2020 13:35:11,,O,,U,N,N,N,N,U,750000,Y,,1152232,,N,N,N,N,N,N,,10,11/11/2020 00:00:00,11/17/2020 01:30:07,,N,908,1,x00,11/11/2020 00:00:00,,N,JAMES RYAN,EXECUTIVE DIRECTOR,11/11/2020 00:00:00,020417217,N,,N,N,,,,,Non-profit,UG,,,,,,04/01/2019 00:00:00,,,,US
1348112,2271892020,2020,227189,06/30/2020 00:00:00,S,A,,N,510399911,,N,,KUUMBA ACADEMY CHARTER SCHOOL,1200 N. FRENCH STREET,,WILMINGTON,DE,19801,SALLY MALDONADO,HEAD OF SCHOOL,3024726452,,SMALDONADO@KUUMBA.K12.DE.US,11/16/2020 14:56:52,SALLY MALDONADO-HEAD OF SCHOOL,"MAILLIE, LLP",624 WILLOWBROOK LANE,,WEST CHESTER,PA,19380,EDWARD FRONCZKOWSKI,PARTNER,4847856031,,EFRONCZKOWSKI@MAILLIE.COM,11/11/2020 11:30:12,,O,,U,N,N,N,N,U,750000,Y,,1272680,,N,N,N,N,N,N,,84,11/16/2020 00:00:00,11/19/2020 01:30:03,,N,905,1,x00,11/16/2020 00:00:00,,N,SALLY MALDONADO,HEAD OF SCHOOL,11/16/2020 00:00:00,231518888,N,,N,N,,,,,Local government,UG,,11/30/2020 10:13:34,12/03/2020 08:54:33,N,G,07/01/2019 00:00:00,,,,US
1353563,2420212020,2020,242021,06/30/2020 00:00:00,S,A,,N,205298861,,N,830186487,"SUCCESS ACADEMY CHARTER SCHOOLS, INC.",95 PINE STREET,,NEW YORK,NY,10005,PETER WANNER,CONTROLLER,9173401319,,PETER.WANNER@SUCCESSACADEMIES.ORG,11/13/2020 13:17:01,PETER WANNER-CONTROLLER,"BDO USA, LLP",622 THIRD AVE,,NEW YORK,NY,10017,ADAM COLE,PARTNER,2128858327,,ACOLE@BDO.COM,11/13/2020 10:49:58,,O,,U,N,N,N,N,U,750000,Y,,1841985,,N,N,N,N,N,N,,84,11/13/2020 00:00:00,11/18/2020 01:30:04,,N,888,1,x00,11/13/2020 00:00:00,,N,PETER WANNER,CONTROLLER,11/13/2020 00:00:00,135381590,N,,N,N,,,,,Non-profit,UG,,11/18/2020 09:55:08,11/19/2020 08:29:55,N,G,07/01/2019 00:00:00,,,,US
1366402,2501222020,2020,250122,08/31/2020 00:00:00,S,A,,N,741697210,,N,091947200,GULF COAST WATER AUTHORITY,3630 FM1765,,"TEXAS CITY, ",TX,77591,DAVID DAVIS,ASSISTANT GENERAL MANAGER,4097974938,,DDAVIS@GCWATER.ORG,01/28/2021 14:32:21,DAVID DAVIS-ASSISTANT GENERAL MANAGER,WHITLEY PENN LLP,"3737 BUFFALO SPEEDWAY, SUITE 1600",,HOUSTON,TX,77098,CHRISTOPHER BREAUX,AUDIT PARTNER,7133861119,,CHRISTOPHER.BREAUX@WHITLEYPENN.COM,01/28/2021 17:31:45,,O,,U,N,N,N,N,U,750000,N,,1805130,,N,N,N,N,N,N,,97,02/01/2021 00:00:00,02/06/2021 01:30:05,,N,888,1,x00,02/01/2021 00:00:00,,N,DAVID DAVIS,ASSISTANT GENERAL MANAGER,02/01/2021 00:00:00,752393478,N,,N,N,,,,,Local government,UG,,,,,,09/01/2019 00:00:00,,,,US
1447100,2285332020,2020,228533,12/31/2020 00:00:00,S,A,,N,743177454,,N,791073674,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,,STATEN ISLAND,NY,10310,DAVE MURRAY,CFO,7188183295,,DMURRAY@RUMCSI.ORG,09/29/2022 07:42:48,DAVE MURRAY-CHIEF FINANCIAL OFFICER,BAKER TILLY,99 WOOD AVENUE SOUTH,,ISELIN,NJ,08830,HEATHER WEBER,PARTNER,2678866617,,HEATHER.WEBER@BAKERTILLY.COM,09/28/2022 19:49:13,,O,,U,Y,N,N,N,U,750000,Y,,10343998,,N,N,N,N,N,N,,97,09/29/2022 00:00:00,10/06/2022 01:30:14,,N,902,1,x00,09/30/2021 00:00:00,,N,DAVE MURRAY,CHIEF FINANCIAL OFFICER,09/30/2021 00:00:00,390859910,N,,Y,N,,,,,Non-profit,UG,,,,,,01/01/2020 00:00:00,,,,
