ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
28232692,899420171,2017,8994,1,93.432,ACL CENTERS FOR INDEPENDENT LIVING,290760,N,,,,,,Y,93,432,132984549,93,,,,N,0,,0,,,N,,290760,,,
28232697,899420172,2017,8994,2,93.042,"SPECIAL PROGRAMS FOR THE AGING_TITLE VII, CHAPTER 2_LONG TERM CARE O...",534787,N,,,,,,N,93,042,132984549,93,,,,N,0,,0,,,N,,534787,,,
28232702,899420173,2017,8994,3,93.791,MONEY FOLLOWS THE PERSON REBALANCING DEMONSTRATION,568970,Y,,,,,,N,93,791,132984549,93,U,,,N,0,,0,,,N,,568970,,,
28232711,899420174,2017,8994,4,93.071,MEDICARE ENROLLMENT ASSISTANCE PROGRAM,2289,N,,,,,,N,93,071,132984549,93,,,,N,0,,0,,,N,,2289,,,
28232712,899420175,2017,8994,5,93.778,MEDICAL ASSISTANCE PROGRAM,299912,N,,,,,,N,93,778,132984549,93,,,,N,0,,0,,MEDICAID CLUSTER,N,,299912,299912,,
28232715,899420176,2017,8994,6,93.767,CHILDREN'S HEALTH INSURANCE PROGRAM,5196,N,,,,,,N,93,767,132984549,93,,,,N,0,,0,,,N,,5196,,,
28232720,899420177,2017,8994,7,10.561,STATE ADMINISTRATIVE MATCHING GRANTS FOR THE SUPPLEMENTAL NUTRITION ...,35268,N,,,,,,N,10,561,132984549,10,,,,N,0,,0,,SNAP CLUSTER,N,,35268,35268,,
28227610,13774720171,2017,137747,1,10.553,SCHOOL BREAKFAST PROGRAM,406524,Y,,,,,,N,10,553,586000276,10,U,,,N,0,,0,,CHILD NUTRITION CLUSTER,N,,406524,2874237,,
28227651,137747201710,2017,137747,10,84.010,TITLE I GRANTS TO LOCAL EDUCATIONAL AGENCIES,7510,N,,,,,,N,84,010,586000276,84,,,,N,0,,0,,,N,,689424,,,
28227652,137747201711,2017,137747,11,84.010,TITLE I GRANTS TO LOCAL EDUCATIONAL AGENCIES,681914,N,,,,,,N,84,010,586000276,84,,,,N,0,,0,,,N,,689424,,,
