ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
27388430,973420161,2016,9734,1,14.195,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,1257234,Y,,,,,,Y,14,195,112882421,14,U,,,N,0,,0,,,N,,1257234,,,
27388433,973420162,2016,9734,2,14.157,SUPPORTIVE HOUSING FOR THE ELDERLY,5278967,Y,,,,,,Y,14,157,112882421,14,U,,,Y,0,5278967,0,,,N,,5278967,,,
26556113,5560820161,2016,55608,1,14.155,MORTGAGE INSURANCE FOR THE PURCHASE OR REFINANCING OF EXISTING MULTIFAMILY HOUSING PROJECTS,2281657,Y,,,,,,Y,14,155,272236322,14,U,,,Y,0,2240620,0,,,N,,2281657,,,
26556117,5560820162,2016,55608,2,14.142,PROPERTY IMPROVEMENT LOAN INSURANCE FOR IMPROVING ALL EXISTING STRUCTURES AND BUILDING OF NEW NONRESIDENTIAL STRUCTURES,122228,N,,,,,,Y,14,142,272236322,14,,,,N,0,0,0,,,N,,122228,,,
26556157,5560820163,2016,55608,3,14.195,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,404557,N,,,,,,Y,14,195,272236322,14,,,,N,0,0,0,,,N,,404557,,,
27198278,7315120161,2016,73151,1,93.859,BIOMEDICAL RESEARCH AND RESEARCH TRAINING,1195022,Y,,,,,,Y,93,859,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,1195022,1582323,,
27198287,73151201610,2016,73151,10,47.074,BIOLOGICAL SCIENCES,7000,Y,,,,,,Y,47,074,520700497,47,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,7000,1582323,,
27198288,73151201611,2016,73151,11,12.431,BASIC SCIENTIFIC RESEARCH,15000,Y,,,,,,Y,12,431,520700497,12,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,15000,1582323,,
27198279,7315120162,2016,73151,2,93.847,"DIABETES, DIGESTIVE, AND KIDNEY DISEASES EXTRAMURAL RESEARCH",128600,Y,,,,,,Y,93,847,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,128600,1582323,,
27198280,7315120163,2016,73151,3,93.867,VISION RESEARCH,101201,Y,,,,,,Y,93,867,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,101201,1582323,,
27198281,7315120164,2016,73151,4,93.839,BLOOD DISEASES AND RESOURCES RESEARCH,45000,Y,,,,,,Y,93,839,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,45000,1582323,,
27198282,7315120165,2016,73151,5,93.855,"ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",39000,Y,,,,,,Y,93,855,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,39000,1582323,,
27198283,7315120166,2016,73151,6,93.866,AGING RESEARCH,18000,Y,,,,,,Y,93,866,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,18000,1582323,,
27198284,7315120167,2016,73151,7,93.853,EXTRAMURAL RESEARCH PROGRAMS IN THE NEUROSCIENCES AND NEUROLOGICAL DISORDERS,15500,Y,,,,,,Y,93,853,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,15500,1582323,,
27198285,7315120168,2016,73151,8,93.396,CANCER BIOLOGY RESEARCH,13000,Y,,,,,,Y,93,396,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,13000,1582323,,
27198286,7315120169,2016,73151,9,93.393,CANCER CAUSE AND PREVENTION RESEARCH,5000,Y,,,,,,Y,93,393,520700497,93,U,,,N,0,0,0,,RESEARCH AND DEVELOPMENT,N,,5000,1582323,,
26809070,7409920161,2016,74099,1,45.129,PROMOTION OF THE HUMANITIES_FEDERAL/STATE PARTNERSHIP,843552,Y,,,,,,Y,45,129,521102799,45,U,,,N,1,0,86610,,,Y,,843552,,,
26809071,7409920162,2016,74099,2,45.164,PROMOTION OF THE HUMANITIES_PUBLIC PROGRAMS,20000,N,,,,,,Y,45,164,521102799,45,,,,N,0,0,19691,,,Y,,20000,,,
26809072,7409920163,2016,74099,3,45.310,GRANTS TO STATES,100000,N,,,,,,N,45,310,521102799,45,,,,N,0,0,0,,,N,,100000,,,
25988224,9138320161,2016,91383,1,14.138,MORTGAGE INSURANCE_RENTAL HOUSING FOR THE ELDERLY,298205,Y,,,,,,Y,14,138,596194087,14,U,,,Y,0,298205,0,066-SH031,,N,,298205,,,
25988229,9138320162,2016,91383,2,14.195,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,654160,Y,,,,,,Y,14,195,596194087,14,U,,,N,0,0,0,FL14L000021,,N,,654160,,,
26004296,10428920161,2016,104289,1,84.268,FEDERAL DIRECT STUDENT LOANS,27136387,Y,,,,,,Y,84,268,750859668,84,U,,,Y,0,-1,0,P268K/2,STUDENT FINANCIAL AID,N,,27136387,34498120,,
26004298,10428920162,2016,104289,2,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,210000,Y,,,,,,Y,84,007,750859668,84,U,,,N,0,0,0,P007A154184,STUDENT FINANCIAL AID,N,,210000,34498120,,
