SEQ_NUMBER,DBKEY,AUDITYEAR,FINDINGREFNUMS,TEXT,CHARTSTABLES,REPORTID,VERSION,UEI,MULTIPLEUEIS
37781,204281,2021,2021-001,"Island Park UFSD                                                                                                                     Single Audit Report of May 24, 2022 by R.S. Abrams, LLP                                                                             Corrective Action Plan                                                                                                              Finding #2021-001                                                                                                                    U.S. Department of Agriculture - Passed-trough the NYS Education Department                                                          Summer Food Service Program for Children (Cash Assistance); Assistance Listing Number 10.559, Grant Period - Fiscal Year Ended June 30, 2021                                                                                                                      Condition: During our audit, we noted the monthly claims for reimbursement are not compared to reports from the point of sale (""POS"") system by an individual other than the preparer of the claims report prior to submission.                                  Corrective Action: Beginning on May 25, 2022, a food service employee, working in the cafeteria, will review and reconcile the meal count and meal reimbursement claim report before it is submitted by the preparer of the report. The food service employee assigned to this task will evidence the review process by signing off on the claims reports before they are submitted for reimbursement.                                                                                                                   Person Responsible: Nancy Marracolla, Food Service Manager.                                                                      Anticipated completion date: 2021-22 fiscal year.",N,932471,1,,
34938,252670,2021,2021-001,"Views of Responsible Officials: By March 2022, the Foundation will replace its current accounting software with Quickbooks, to provide with the needed double-entry accounting system.
",N,924559,1,,
34939,252670,2021,2021-002,"Views of Responsible Officials: Beginning immediately, the Foundation will strengthen its monitoring of the subrecipient’s use of Federal funds to include reviews of subrecipient award expenditures, and monitoring of programmatic outcomes.",N,924559,1,,
41022,26716,2021,2021-001,"Audit period: October 1, 2020- September 30, 2021
The findings from the September 30, 2021, schedule of findings and questioned costs are discussed below. The findings are numbered consistently with the numbers assigned in the schedule.
FINDINGS- Federal Awards
Finding 2021-001: Matching requirements
Condition: Records provided  to comply with the five percent  non-Federal  WIPA match requirement were not based on actual costs and expected volunteer hours planned for the match requirement did not occur.
Action Taken:
Due to the continuing pandemic, planned in-person events and meetings were cancelled due to COVID
protocols.  Volunteer time and meeting space in-kind donations were unavailable to meet the match. Management  used the fair market  value of its time as match.  The calculation  of fair market value should not have been used for the match, only actual cost.  As a result, Disability Rights Pennsylvania fell short of its match requirements for WIIPA.
Management will recalculate our match based on actual costs.  WIPA has removed the match requirement for FY 22-26.  Management will monitor any other match requirements to calculate based on actual costs not fair market  value.    Management  will report  the  recalculated  match to Maher Duessel.  Management will complete this task by July 18, 2022.
If the Pennsylvania Office of the Budget has questions regarding this plan, please call Peri Jude
Radecic, Chief Executive Officer at (717) 980-3198. ",N,934034,1,,
55611,258004,2021,2021-001,"2021-001:  Material Weakness in Internal Control; Material Noncompliance – Reporting

Finding:  The Health System did not complete the PRF portal reporting in accordance with the U.S. Department of Health and Human Services guidance. During our testing of the Period 1 and Period 2 consolidated PRF reports for the Health System, we observed the following exceptions: 

•	The Health System did not submit the required stand-alone reporting for the period 2 targeted distribution for St. Barnabas Nursing Home related to infection control payments. The infection control payments were instead reported on the consolidated Health System period 2 portal submission as Other Assistance. 
•	The Health System had calculated and maintained supporting documentation for lost revenues for both periods 1 and 2. However, lost revenue was never reported on the period 1 and period 2 portal submissions as intended.
•	The expenses reported in the portal and applied to the PRF payments for periods 1 and 2 could not be reconciled to the Health System’s records (i.e., general ledger detail). However, the combined amount of lost revenue and eligible expenses per the Health System’s records was greater than PRF payments received. 

The underlying populations and support for the Health System’s expenses and lost revenue records were subjected to testing. The issues observed above related to inability to reconcile what was provided as part of the audit to what was submitted as part of the required reporting at the time it was completed. 

This was not a statistically valid sample.

Corrective Actions Planned:  Management has reviewed the reporting responsibilities and has redesignated the individual responsible for preparing the reporting. As a result of the change in responsibilities, Management has reviewed the updated PRF terms and conditions, specifically those related to reporting expenses and lost revenues in the PRF portal. In so doing, management will work with HRSA to correct the period 1 and period 2 reports to properly reflect the corrected amounts. Further, an additional review process will be put into place to mitigate the risk of future PRF non-compliance and ensure accurate portal submission reporting.  

Expected Date of Completion: 
•	Redesignation of individual responsible for preparing the reporting (Completed 3/8/2023)
•	Review of updated PRF terms and conditions (Completed 3/8/2023)
•	Correction of period 1 and period 2 reports (Projected Completion To be Determined – based on HRSA guidance)
•	Implementation of review process (Completed 3/8/2023)

Responsible Official:  
JD Turco, Senior Vice President – Finance
jdturco@stbarnabashealthsystem.com
724-687-9355
",N,980570,1,,
42470,239098,2021,2021-001,"Finding ref number:
2021-001
Finding caption:
The District lacked adequate internal controls for ensuring compliance
with federal suspension and debarment requirements.
Name, address, and telephone of the District contact person:
Jeff Jones, Sr. Finance/Business Services Manager
Benton-Franklin Health District
7102 W. Okanogan Place
Kennewick WA 99336
(509) 460-4552
Corrective action the auditee plans to take in response to the finding:
The District agrees with the recommendation from the State Auditor’s Office to strengthen
internal controls to ensure compliance with federal suspension and debarment requirements.
The District will formalize a processes to check all new contractor’s exclusion records in the
System for Award Management (SAM.gov) and to retain copies of those searches in the
vendor’s file including those searches where the vendor is not found in the system.
Anticipated date to complete the corrective action: December 31, 2022",N,942119,1,,
34293,245543,2021,2021-002,"Finding 2021-002 
Federal Agency Name:  Department of Education
Federal Financial Assistance Listing:  84.425E, 84.425F
Program Name:  COVID-19: Higher Education Emergency Relief Student Aid Portion, COVID-19: Higher Education Emergency Relief Institutional Portion
Reporting
Material Weakness in Internal Controls over Compliance

Finding Summary:  During the testing over the reporting for the HEERF student and institutional funds, the reports that were required to be filed during the fiscal year were not filed by the required timeframe.

Responsible Individuals: Director of Budgeting; HEERF Operations and Policy Analyst 

Corrective Action Plan: Management agrees with this finding. The University has resolved the delinquent status of the reporting for periods during fiscal year 2020-21 as of September 2021. In October 2021, the University hired a HEERF Operations and Policy Analyst (Analyst) to oversee the HEERF compliance requirements including reporting. Additionally, the Director of Budgeting is responsible to monitor the timely reporting of subsequent reports.

Anticipated Completion Date: Completed in October 2021.

",N,922379,1,,
34294,245543,2021,2021-001,"Finding 2021-001 
Federal Agency Name:  Department of Education
Program Name:  Student Financial Aid Cluster
Federal Financial Assistance Listing:  84.007, 84.033, 84.063, 84.038, 84.268, 84.379
Special Tests and Provisions:  NSLDS Withdrawal Date
Significant Deficiency in Internal Controls over Compliance

Finding Summary:  During the testing of students that were disbursed financial aid during the 2020-21 school year, there were four instances in which the student’s status change date per University records did not match the dates reported to NSLDS.

Responsible Individuals: Director of Financial Aid.

Corrective Action Plan: Management agrees with this finding. The Assistant Director of Financial Aid processes
official withdrawals from the university and uses only one date—namely, the date the student initiated their
withdrawal from WOU which is then picked up for reporting to the National Student Clearinghouse (NSC) from
the Registrar; NSC then reports the same date to NSLDS. However, there have been issues with the reporting
either not being done at all or the incorrect date being reported by the Registrar’s Office. There have been no
findings on the R2T4 calculation performed by the Financial Aid Office.

Unofficial withdrawal dates are added to NSLDS by the Financial Aid Office but there are no findings with
reporting dates to NSLDS. The Financial Aid Office typically uses a course’s last day of attendance reported by
faculty, to determine the student’s last day of attendance which is then used for reporting to NSLDS.

The Office of Financial Aid will design a process with the Registrar to ensure that, where exceptions between
two dates occur, that the Registrar’s Office is picking up the correct reporting date.

Anticipated Completion Date: June 30, 2022.
",N,922379,1,,
37853,253404,2021,2021-001,"Atlanta Water System, Inc.
P.O. Box 965
Winnfield, LA 71483

CORRECTIVE ACTION PLAN

May 9, 2022

Atlanta Water System, Inc. respectfully submits the following corrective action plan for the year ended December 31, 2021.

Independent Auditor:	Shanna Jones, CPA
795 Big Creek Rd
Winnfield, LA 71483

Auditee Contact:	Atlanta Water System, Inc.
			P. O. Box 965
Winnfield, LA 71483

Audit Period:		January 1, 2021 through December 31, 2021

The findings from the May 9, 2022 schedule of findings and questioned costs are discussed below.  The findings are numbered consistently with the numbers assigned in the schedule.

Section B. FINANCIAL STATEMENTS AUDIT
None

Section C. MAJOR FEDERAL AWARD PROGRAM AUDIT

Major Program
CFDA 66.468 EPA Drinking Water State Revolving Loan Fund Cluster

2021-001 WRITTEN POLICIES NEED ADDITIONAL ELEMENTS

Criteria
Written policies, procedures, and standards of conduct are required by 2 CFR 200, Subparts D and E (2 CFR sections 200.300 and 200.400, respectively). The regulations require that the Water System follow their written policies and procedures, including procurement and purchasing, and that they must comply with federal regulations for such transactions and contracts.

The following sections of the Uniform Guidance require nonfederal entities that receive federal awards to establish written policies, procedures, or standards of conduct:

•	Financial management (200.302)
•	Payment (200.305)
•	General procurement standards (200.318)
•	Competition (200.319)
•	Methods of procurement to be followed (200.320)
•	Cost price analysis on items for procurement actions in excess of simplified acquisition threshold (200.323)
•	Suspension and debarment (180.220)

Condition
In 2021, the Water system’s written policies, procedures, and standards of conduct, specifically applicable for this major federal award program, did not include all procedures covering procurement and purchasing. Although the Water System appears to have acted in a manner that ensured compliance with other requirements, the written policies do not appear to include sufficient details to clearly address all of the elements required by federal regulations. 

Cause
The regulations are complex.

Effect
While it appears that the Water System has complied with other compliance requirements, the lack of sufficient written policies and procedures could lead to other instances of noncompliance.

Questioned Costs
I did not identify any questioned costs.

Perspective
The condition is a systemic problem. The project has a budget of $1,150,000. This is funded under the loan program, where the Water System is a subrecipient of funds flowing through Louisiana Department of Health. 

First Year
2021

Recommendation
I recommend that the Water System compare written policies and procedures to federal regulations and include further details where necessary to ensure compliance with the regulations requiring written policies and to prevent noncompliance with other regulations.

Action Taken
The Atlanta Water System, Inc. had written policies. These policies were being followed and we felt we were complying with state and federal requirements for procurement and purchasing.  Upon being made aware policies were required to be written in greater detail related to federal regulations, we amended our written policies and procedures to include such language as required.

Sincerely,
		
W.C. McCarty, Jr, President
Atlanta Water System, Inc.
",N,933929,1,,
37663,23052,2021,2021-003,"Views of Responsible Officials and Planned Corrective Actions: Management is in agreement with the
recommendation. The Center is working to implement controls that will reduce the likelihood of similar
errors in the future. Moving forward as part of the quarterly and annual close processes, the grant
accountant will reconcile information submitted on the Federal Financial Reports to the general ledger
to ensure that there are no discrepancies. The Center is also pursuing grants management education
for all finance members.
Contact Person Responsible for Corrective Action: The Director of Finance and Revenue Cycle,
Dheera Lingamallu, will be responsible for this review.
Anticipated Completion Date: The planned anticipated completion date for this review is June 30,
2022.",N,930561,1,,
