ID,AUDITYEAR,DBKEY,ELECAUDITSID,PASSTHROUGHNAME,PASSTHROUGHID
4842693,2021,5655,33973897,COMMONWEALTH OF MASSACHUSETTS DEPARTMENT OF MENTAL HEALTH,SCDMH12200161284000
4842697,2021,5655,33973901,"CITY OF SPRINGFIELD, MA",20210271
4842701,2021,5655,33973905,MASS EMERGENCY MANAGEMENT AGENCY COVID-19 PUBLIC ASSISTANCE,CTFEMA4496MNT-COVID
4842703,2021,5655,33973907,COMMONWEALTH OF MASSACHUSETTS,21EHS155CONGREGATEG
4842698,2021,5655,33973902,"CITY OF CHICOPEE, MA",2020AUGSHERIDAN
4842694,2021,5655,33973898,"CITY OF SPRINGFIELD, MA",20210093
4842692,2021,5655,33973896,"CITY OF SPRINGFIELD, MA",20210070
4842695,2021,5655,33973899,COMMUNITY ACTION PIONEER VALLEY,MA0691Y1T071800
4842696,2021,5655,33973900,COMMUNITY ACTION PIONEER VALLEY,20210143
4842690,2021,5655,33973890,"CITY OF SPRINGFIELD, MA",20210050
4842699,2021,5655,33973903,"CITY OF CHICOPEE, MA",3046
4842691,2021,5655,33973891,COMMONWEALTH OF MASS DEPT. OF HOUSING & COMMUNITY DEVELOPMENT,0CD8000ESGCV2021
4842700,2021,5655,33973904,"CITY OF WESTFIELD, MA",10187
4842702,2021,5655,33973906,UNITED WAY WORLDWIDE EMERGENCY FOOD AND SHELTER PROGRAM,LRO ID:450200-049
5464152,2021,11674,34959984,ASIAN PACIFIC INSTITUTE ON GENDER-BASED VIOLENCE,1831-001
5464174,2021,11674,34960019,NYS UNIFIED COURT SYSTEM,0981-198
5464131,2021,11674,34959957,NYS UNIFIED COURT SYSTEM,0981-233
5464146,2021,11674,34959977,RTI INTERNATIONAL,1777-001
5464151,2021,11674,34959983,NATIONAL COUNCIL OF JUVENILE & FAMILY COURT JUDGES,0635-015
5464159,2021,11674,34959997,"VERA HOUSE, INC.",1806-001
5464167,2021,11674,34960007,NYS UNIFIED COURT SYSTEM,0981-140
5464177,2021,11674,34960023,"FUND FOR THE PUBIC HEALTH IN NEW YORK, INC.",1041-010
5464134,2021,11674,34959963,YOUTH COLLABORATORY,1825-001
5464160,2021,11674,34959998,NATIOANL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES,0635-014
5464161,2021,11674,34960001,NYS UNIFIED COURT SYSTEM,0981-191
5464126,2021,11674,34959947,NATIONAL ASSOCIATION OF DRUG COURTS,1680-002
5464129,2021,11674,34959955,NYS UNIFIED COURT SYSTEM,0981-234
5464141,2021,11674,34959971,NYS OFFICE OF CHILDREN AND FAMILY SERVICES,0819-182
5464162,2021,11674,34960002,NYS UNIFIED COURT SYSTEM,0981-190
5464166,2021,11674,34960006,NYS UNIFIED COURT SYSTEM,0981-226
5464170,2021,11674,34960010,NATIONAL CASA/GAL,1144-005
5464140,2021,11674,34959969,"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC.",1637-004
5464169,2021,11674,34960009,NYS UNIFIED COURT SYSTEM,0981-209
5464135,2021,11674,34959964,"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC.",1637-005
5464139,2021,11674,34959968,"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC.",1637-006
5464144,2021,11674,34959974,"CHEMONICS INTERNATIONAL, INC.",1652-008
5464149,2021,11674,34959980,FOX VALLEY TECHNICAL COLLEGE (FVTC),0931-007
5464158,2021,11674,34959996,"NJ DIVISION OF CRIMINAL JUSTICE, OFFICE OF VICTIM-WITNESS ADVOCACY",0963-009
5464163,2021,11674,34960003,NYS UNIFIED COURT SYSTEM,0981-229
5464165,2021,11674,34960005,NYS UNIFIED COURT SYSTEM,0981-232
5464168,2021,11674,34960008,NYS UNIFIED COURT SYSTEM,0943-006
5464132,2021,11674,34959959,UNIVERSITY OF NORTH DAKOTA,1725-002
5464133,2021,11674,34959961,ADMINISTRATIVE OFFICE OF PENNSYLVANIA,1788-001
5464137,2021,11674,34959966,"ADVOCATES FOR HUMAN POTENTIAL, INC.",0936-003
5464150,2021,11674,34959981,NATIONAL COUNCIL OF JUVENILE & FAMILY COURT JUDGES,0635-008
5464154,2021,11674,34959992,NATIONAL CASA/GAL,1144-006
5464136,2021,11674,34959965,"ADVOCATES FOR HUMAN POTENTIAL, INC.",0936-004
5464142,2021,11674,34959972,NYS OFFICE OF CHILDREN AND FAMILY SERVICES,0819-181
5464156,2021,11674,34959994,"NJ DIVISION OF CRIMINAL JUSTICE, OFFICE OF VICTIM-WITNESS ADVOCACY",0963-001
5464178,2021,11674,34960024,NYC DEPARTMENT OF YOUTH AND COMMUNITY DEVELOPMENT,"#821610, #821611, #91353"
5464127,2021,11674,34959948,NATIONAL ASSOCIATION OF DRUG COURTS,1680-003
5464143,2021,11674,34959973,VERMONT NETWORK AGAINST DOMESTIC AND SEXUAL VIOLENCE,1227-001
5464147,2021,11674,34959978,NYS UNIFIED COURT SYSTEM,0981-241
5464176,2021,11674,34960021,NYS UNIFIED COURT SYSTEM,0981-230
5464130,2021,11674,34959956,NYS UNIFIED COURT SYSTEM,0981-196
5464138,2021,11674,34959967,"ADVOCATES FOR HUMAN POTENTIAL, INC.",0936-005
5464145,2021,11674,34959975,"CHEMONICS INTERNATIONAL, INC.",1652-007
5464153,2021,11674,34959991,NATIONAL CASA/GAL,1144-004
5464157,2021,11674,34959995,"NJ DIVISION OF CRIMINAL JUSTICE, OFFICE OF VICTIM-WITNESS ADVOCACY",0963-008
5464172,2021,11674,34960012,NATIONAL JUDICIAL COLLEGE,0941-002
5464128,2021,11674,34959954,NYS UNIFIED COURT SYSTEM,0981-205
5464148,2021,11674,34959979,NYS UNIFIED COURT SYSTEM,0981-224
5464155,2021,11674,34959993,"NJ DIVISION OF CRIMINAL JUSTICE, OFFICE OF VICTIM-WITNESS ADVOCACY",1618-003
5464164,2021,11674,34960004,NYS UNIFIED COURT SYSTEM,0981-231
5464171,2021,11674,34960011,FOX VALLEY TECHNICAL COLLEGE (FVTC),1725-002
5464173,2021,11674,34960015,NYS UNIFIED COURT SYSTEM,0981-207
5464175,2021,11674,34960020,NYS UNIFIED COURT SYSTEM,1645-003
4986722,2021,42979,34168390,LUCAS METROPOLITAN HOUSING AUTHORITY,19-CNSLT005
4986723,2021,42979,34168391,OHIO ATTORNEY GENERAL'S OFFICE,2019-VOCA-132134982
4986724,2021,42979,34168392,LUCAS COUNTY PLANNING & DEVELOPMENT AGENCY,
4986725,2021,42979,34168393,LUCAS COUNTY PLANNING & DEVELOPMENT AGENCY,
4986726,2021,42979,34168394,LUCAS COUNTY PLANNING & DEVELOPMENT AGENCY,
4986727,2021,42979,34168403,OHIO DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES,
4986728,2021,42979,34168404,OHIO DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES,
4986729,2021,42979,34168405,OHIO DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES,
