<<<<<<< HEAD
ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
36038029,2551020221,2022,25510,1,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,178747,Y,,,,,,Y,84,007,231352620,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,178747,34539069,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
36038154,25510202210,2022,25510,10,84.031,HIGHER EDUCATION_INSTITUTIONAL AID,136012,Y,,,,,,Y,84,031,231352620,84,U,,,N,0,,0,A,,N,,136012,0,,HIGHER EDUCATION_INSTITUTIONAL AID
36038198,25510202211,2022,25510,11,98.001,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,103634,N,,,,,,N,98,001,231352620,98,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,103634,670656,,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS
36038203,25510202212,2022,25510,12,93.361,NURSING RESEARCH,30663,N,,,,,,N,93,361,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,30663,670656,,NURSING RESEARCH
36038206,25510202213,2022,25510,13,93.853,EXTRAMURAL RESEARCH PROGRAMS IN THE NEUROSCIENCES AND NEUROLOGICAL DISORDERS,12316,N,,,,,,N,93,853,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,12316,670656,,EXTRAMURAL RESEARCH PROGRAMS IN THE NEUROSCIENCES AND NEUROLOGICAL DISORDERS
36038213,25510202214,2022,25510,14,93.865,CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH,54044,N,,,,,,N,93,865,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,82967,670656,,CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH
36038218,25510202215,2022,25510,15,93.865,CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH,28923,N,,,,,,N,93,865,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,82967,670656,,CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH
36038220,25510202216,2022,25510,16,93.243,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES_PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE,7297,N,,,,,,N,93,243,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,7297,670656,,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES_PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE
36038222,25510202217,2022,25510,17,93.959,BLOCK GRANTS FOR PREVENTION AND TREATMENT OF SUBSTANCE ABUSE,2148,N,,,,,,N,93,959,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,2148,670656,,BLOCK GRANTS FOR PREVENTION AND TREATMENT OF SUBSTANCE ABUSE
36038224,25510202218,2022,25510,18,93.575,CHILD CARE AND DEVELOPMENT BLOCK GRANT,95100,N,,,,,,N,93,575,231352620,93,,,,N,0,,0,,RESEARCH AND DEVELOPMENT,N,,95100,670656,,CHILD CARE AND DEVELOPMENT BLOCK GRANT
