ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
375424,950789,1,120262,2022,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenses reported on the Schedule of Expenditures of Federal Awards are reported on the accrual basis of accounting. Such expenses are recognized following the cost principles contained in the Uniform Guidance and/or OMB Circular A-87, Cost Principles for State, Local, and Indian Tribal Governments, wherein certain types of expenses are not allowable or are limited as to reimbursement.",U4QQRTQ1NFL7,N
375425,950789,1,120262,2022,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,U4QQRTQ1NFL7,N
439867,969032,1,25510,2022,3,3,0,Loan/loan guarantee outstanding balances,FEDERAL PERKINS LOANS OUTSTANDING (84.038) - Balances outstanding at the end of the audit period were 368000. ,HT3NK1QGE1H8,N
439868,969032,1,25510,2022,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Arcadia University (the University) under programs of the federal government for the year ended May 31, 2022. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the University, it is not intended to and does not present the financial position, changes in net position or cash flows of the University.",HT3NK1QGE1H8,N
439869,969032,1,25510,2022,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,HT3NK1QGE1H8,N
449225,974778,1,148665,2022,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal grant activity of Oakland University (the University) under programs of the federal government for the year ended June 30, 2022. The information in the Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (the Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the University, it is not intended to and does not present the financial position, changes in net position, or cash flows of the University. Expenditures reported in the Schedule are reported on the same basis of accounting as the University's basic financial statements. Such expenditures are recognized following the cost principles contained in Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Negative amounts shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years. The pass through entity identifying numbers are presented where available.The University has elected not to use the 10 percent de minimis indirect cost rate to recover indirect costs, as allowed under the Uniform Guidance.",HJTLACN81NK1,N
449226,974778,1,148665,2022,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,HJTLACN81NK1,N
449227,974778,1,148665,2022,4,3,0,Adjustments and Transfers,"As allowable and in accordance with federal regulations issued by the U.S Department of Education, in the year ended June 30, 2022, the University transferred $563,973 of the 2021 2022 Federal Work Study Program (ALN 84.033) award to the Federal Supplemental Educational Opportunity Grant (ALN 84.007) award, which it expended in the 2021 2022 award year.",HJTLACN81NK1,N
449228,974778,1,148665,2022,3,3,0,Loan/loan guarantee outstanding balances,"The University utilizes the services of University Accounting Services, Inc. (UAS) to administer the repayment of Perkins Loans and perform certain due diligence procedures. The UAS Compliance Attestation Examination of the Title IV Student Financial Assistance Programs report for the fiscal year ended June 30, 2022 was received and reviewed. No significant items of noncompliance or control weaknesses were noted. There was $450,490 of Federal Perkins loans (ALN 84.038) outstanding as of June 30, 2022. There were no program disbursements under the Federal Perkins Loan Program for the year ended June 30, 2022. ",HJTLACN81NK1,N
448796,975623,1,54071,2022,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,The SEFA is prepared on the accrual basis of accounting.,DDFQSUJ4DPZ3,N
