ID,AUDITYEAR,DBKEY,ELECAUDITSID,PASSTHROUGHNAME,PASSTHROUGHID
3055030,2019,41558,31144396,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,
3657990,2019,77814,32092322,UNIV OF UTAH,10034328-01
3657989,2019,77814,32092321,MORGAN STATE UNIV,169231-001
3657991,2019,77814,32092327,BSCS,18-020
3657992,2019,77814,32092339,CRDF,CTRF-17-AAAS
2805654,2019,101111,30743731,"UNIVERSITY OF TEXAS, AUSTIN",UTA-17000481 MSP
2805655,2019,101111,30743731,"UNIVERSITY OF TEXAS, AUSTIN",UTA-17000510 MSP
2805656,2019,101111,30743731,"UNIVERSITY OF TEXAS, AUSTIN",UTA 17-001517
2805658,2019,101111,30743734,OFFICE OF THE GOVERNOR OF TEXAS,2016-VA-GX-0033
2805657,2019,101111,30743732,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,168501/163420
2990485,2019,145626,31044984,KANSAS DEPARTMENT OF EDUCATION,D0373
2990348,2019,145626,31044849,KANSAS DEPARTMENT OF EDUCATION,D0373
2990228,2019,145626,31044655,KANSAS DEPARTMENT OF EDUCATION,D0373
2990273,2019,145626,31044712,KANSAS DEPARTMENT OF EDUCATION,D0373
2990169,2019,145626,31044590,KANSAS DEPARTMENT OF EDUCATION,D0373
2990252,2019,145626,31044685,KANSAS DEPARTMENT OF EDUCATION,D0373
2990399,2019,145626,31044911,KANSAS DEPARTMENT OF EDUCATION,D0373
2990191,2019,145626,31044612,KANSAS DEPARTMENT OF EDUCATION,D0373
2990522,2019,145626,31045071,KANSAS DEPARTMENT OF EDUCATION,D0373
2990158,2019,145626,31044578,KANSAS DEPARTMENT OF EDUCATION,D0373
2990209,2019,145626,31044635,KANSAS DEPARTMENT OF EDUCATION,D0373
2990300,2019,145626,31044768,KANSAS DEPARTMENT OF EDUCATION,D0373
2906961,2019,150340,30923972,MCHIGAN DEPARTMENT OF EDUCATION,193520-191216
2906958,2019,150340,30923968,MCHIGAN DEPARTMENT OF EDUCATION,191340-1819
2906952,2019,150340,30923959,MCHIGAN DEPARTMENT OF EDUCATION,181960 / 191960
2906950,2019,150340,30923957,MCHIGAN DEPARTMENT OF EDUCATION,
2906956,2019,150340,30923965,MCHIGAN DEPARTMENT OF EDUCATION,"183QUA-1718, 193QUA-1819"
2906951,2019,150340,30923958,MCHIGAN DEPARTMENT OF EDUCATION,ENTITLEMENT COMMODITIES
2906957,2019,150340,30923966,MCHIGAN DEPARTMENT OF EDUCATION,"182320-1718,192320-1819"
2906960,2019,150340,30923970,MCHIGAN DEPARTMENT OF EDUCATION,"180580-1718,190580-1819"
2906959,2019,150340,30923969,MCHIGAN DEPARTMENT OF EDUCATION,"181570-1718, 191570-1819"
2906953,2019,150340,30923960,MCHIGAN DEPARTMENT OF EDUCATION,181970/191970
2906962,2019,150340,30923974,MCHIGAN DEPARTMENT OF EDUCATION,"180620-SPDG,190620-SPDG"
2906964,2019,150340,30923978,MCHIGAN DEPARTMENT OF EDUCATION,144630-1718
2906968,2019,150340,30923985,UNIVERSITY OF OREGON,"224440G-2018,224440G-2019,224930A-2019"
2906971,2019,150340,30923988,SPECIAL OLYMPIC MICHIGAN,
2906965,2019,150340,30923980,MCHIGAN DEPARTMENT OF EDUCATION,"182890-SCT2018,192900-NEWSCT2019,192890-SCT2019"
2906954,2019,150340,30923961,MCHIGAN DEPARTMENT OF EDUCATION,"180450-1718,190450-1819,190493 GSG,180470 1D50, 190470 1D50"
2906963,2019,150340,30923977,MCHIGAN DEPARTMENT OF EDUCATION,"180630 MODDEMO,190630 MODDEMO"
2906955,2019,150340,30923963,MCHIGAN DEPARTMENT OF EDUCATION,"180460-1718, 190460-1819"
2968678,2019,160831,31010016,NYS EDUCATION DEPARTMENT,
2968608,2019,160831,31009917,NYS EDUCATION DEPARTMENT,0032191012
2968641,2019,160831,31009972,NYS EDUCATION DEPARTMENT,0204193475
2968629,2019,160831,31009942,NYS EDUCATION DEPARTMENT,0033191012
2968630,2019,160831,31009944,NYS EDUCATION DEPARTMENT,0021193475
2968663,2019,160831,31009999,NYS EDUCATION DEPARTMENT,0147183475
2968674,2019,160831,31010012,NYS EDUCATION DEPARTMENT,
2968683,2019,160831,31010019,NYS EDUCATION DEPARTMENT,
4349710,2019,161649,33196993,NC DEPT OF PUBLIC SAFETY,2018-DJ-BX-0075
4349711,2019,161649,33196994,NC DEPT OF PUBLIC SAFETY,2017-DJ-BX-0075
4349712,2019,161649,33196995,NC DEPT OF PUBLIC SAFETY,NC0960100
4349713,2019,161649,33196997,NC DEPT OF TRANSPORTATION,42538.1.1
4349714,2019,161649,33196998,NC DEPT OF TRANSPORTATION,48269.1.8
4349715,2019,161649,33196999,NC DEPT OF TRANSPORTATION,47615.1.9
4349716,2019,161649,33197000,NC DEPT OF TRANSPORTATION,36230.13.18.6
4349717,2019,161649,33197001,NC DEPT OF ENVIRONMENTAL QUALITY,E-SRF-T-17-0453
4349718,2019,161649,33197002,NC DEPT OF PUBLIC SAFETY,FEMA-4393-DR-NC
3277811,2019,170061,31478645,PENNSYLVANIA DEPARTMENT OF EDUCATION,020-19-0460
3277812,2019,170061,31478646,PENNSYLVANIA DEPARTMENT OF EDUCATION,144-19-0460
3277813,2019,170061,31478647,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,062-19-0016
3277814,2019,170061,31478648,IU13,062-19-0033
3277815,2019,170061,31478649,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,131-19-0016
3277816,2019,170061,31478650,PENNSYLVANIA DEPARTMENT OF PUBLIC WELFARE,
3277810,2019,170061,31478644,PENNSYLVANIA DEPARTMENT OF EDUCATION,013-19-0460
3277817,2019,170061,31478651,PENNSYLVANIA DEPARTMENT OF EDUCATION,
3277818,2019,170061,31478652,PENNSYLVANIA DEPARTMENT OF EDUCATION,
3277819,2019,170061,31478653,PENNSYLVANIA DEPARTMENT OF EDUCATION,
2802181,2019,171397,30738630,STATE DEPARTMENT OF EDUCATION,
2803614,2019,171397,30740708,STATE DEPARTMENT OF EDUCATION,
