ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
6063,812544,1,57245,2019,2,2,2,10% De Minimis Cost Rate,The auditee did not elect to use the de minimis cost rate.,,
6064,812544,1,57245,2019,3,3,0,Loan/loan guarantee outstanding balances,MORTGAGE INSURANCE FOR THE PURCHASE OR REFINANCING OF EXISTING MULTIFAMILY HOUSING PROJECTS-BALANCE OF MORTGAGE LOAN UNDER SECTION 223(F) OF THE NATIONAL HOUSING ACT (14.155) - Balances outstanding at the end of the audit period were 3083070. ,,
6065,812544,1,57245,2019,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,The schedule of expenditures of federal awards is prepared on the accrual basis of accounting.,,
14896,815192,1,91751,2019,2,2,2,10% De Minimis Cost Rate,The auditee did not elect to use the de minimis cost rate.,,
14897,815192,1,91751,2019,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Summary of Significant Accounting PoliciesExpenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.",,
19283,819650,1,71770,2019,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
19284,819650,1,71770,2019,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,The accompanying schedule of federal awards presents the activities in all the federal award programs of Boricua.  All financial awards received directly from federal agencies as well as financial awards passed through other governmental agencies or non-profit organizations are included on the schedule and are presented in accordance with the requirements of Uniform Guidance. The accompanying schedule of federal awards is presented using the accrual basis of accounting.  The amounts reported in this schedule as expenditures may differ from certain financial reports submitted to state funding agencies due to those reports being submitted on either a cash or modified accrual basis of accounting. Federal awards expenditures are reported as tuition revenue in the consolidated statement of activities and changes in net assets. The tuition revenue reported in the basic consolidated financial statements may differ from the expenditures reported in the schedule of Federal awards due to certain types of tuition revenue and fee revenue that do not meet the requirements of the Federal agencies. ,,
23929,812582,1,101111,2019,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Our Lady of the Lake University of San Antonio has elected not to use the 10 percent de minimis indirect cost rate allowed under the Uniform Guidance. ",,
23930,812582,1,101111,2019,3,3,0,Loan/loan guarantee outstanding balances,FEDERAL PERKINS LOAN PROGRAM (84.038) - Balances outstanding at the end of the audit period were 1937346. ,,
23931,812582,1,101111,2019,2,2,2,10% De Minimis Cost Rate,The auditee did not elect to use the de minimis cost rate.,,
