ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
31271175,3599020191,2019,35990,1,93.667,SOCIAL SERVICES BLOCK GRANT,95248,N,,,,,,Y,93,667,251086440,93,,,,N,0,,0,,,N,,190496,0,,SOCIAL SERVICES BLOCK GRANT
31271176,3599020192,2019,35990,2,93.667,SOCIAL SERVICES BLOCK GRANT,95248,N,,,,,,Y,93,667,251086440,93,,,,N,0,,0,,,N,,190496,0,,SOCIAL SERVICES BLOCK GRANT
31271182,3599020193,2019,35990,3,93.958,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES,258065,N,,,,,,Y,93,958,251086440,93,,,,N,0,,0,,,N,,516130,0,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
31271183,3599020194,2019,35990,4,93.958,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES,258065,N,,,,,,Y,93,958,251086440,93,,,,N,0,,0,,,N,,516130,0,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
31271187,3599020195,2019,35990,5,93.778,MEDICAL ASSISTANCE PROGRAM,1349329,Y,,,,,,Y,93,778,251086440,93,U,,,N,0,,0,,,N,,2698658,0,,MEDICAL ASSISTANCE PROGRAM
31271188,3599020196,2019,35990,6,93.778,MEDICAL ASSISTANCE PROGRAM,1349329,Y,,,,,,Y,93,778,251086440,93,U,,,N,0,,0,,,N,,2698658,0,,MEDICAL ASSISTANCE PROGRAM
31144388,4155820191,2019,41558,1,84.007,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS,262141,Y,,,,,,Y,84,007,330413730,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,262141,28615421,,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS
31144389,4155820192,2019,41558,2,84.033,FEDERAL WORK-STUDY PROGRAM,270575,Y,,,,,,Y,84,033,330413730,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,270575,28615421,,FEDERAL WORK-STUDY PROGRAM
31144390,4155820193,2019,41558,3,84.038,FEDERAL PERKINS LOAN PROGRAM,5585174,Y,,,,,,Y,84,038,330413730,84,U,,,Y,0,4732957,0,,STUDENT FINANCIAL ASSISTANCE,N,,5585174,28615421,,
31144391,4155820194,2019,41558,4,84.063,FEDERAL PELL GRANT PROGRAM,4232359,Y,,,,,,Y,84,063,330413730,84,U,,,N,0,,0,,STUDENT FINANCIAL ASSISTANCE,N,,4232359,28615421,,FEDERAL PELL GRANT PROGRAM
