SEQ_NUMBER,DBKEY,AUDITYEAR,FINDINGREFNUMS,TEXT,CHARTSTABLES,REPORTID,VERSION,UEI,MULTIPLEUEIS
1905,91751,2019,2019-002,"2019-002 The University awarded one student in excess of the annual loan limit for Subsidized
Direct Loans, based on that student's grade level.

Name of Contact Person
Paul Winker, Associate Director of Financial Aid is responsible for the corrective action that is
planned by Ian Freyberg, Director of Financial Aid with over 10 years' experience in the field.

Corrective Action Plan
Beginning with the start of the 2019-2020 academic year the University of the Cumberlands
moved to an integrated software system, Banner. Students enrollment and grade levels are
checked at time of packaging and again prior to disbursing aid. Banner enrollment module
(ROAENRL) is tied to Financial Aid (RPAAWRD) allowing the software to identify students with
award loan levels greater than attempted credit hours and grade levels. Prior, method of
awarding using external reports has been discontinued. Additionally, staff will continue to
receive both in-house and external training in financial aid practices, policies and procedures.
Most recently staff attended the NASFA New Aid Officers Workshop.

Anticipated Completion Date
The student that was noted during the 2019 audit was corrected upon detection. The overaward
was returned and the student was given a scholarship so they would not be affected by
the administrative error.
",N,815192,1,,
1906,91751,2019,2019-001,"2019-001 The University incorrectly reported student status changes to NSLDS.
Name of Contact Person

Ian Freyberg, Director of Financial Aid and Chuck Du pier, Registrar are responsible for the
corrective action that was planned with the aid of William DeWolf,Ph.D. of FocusEDU. William
De Wolf has over 17 years' experience as a Registrar and is a member of the Banner
Implementation team. The status changes are reported by the Registrar (Chuck Dupier), who
administratively reports to the Vice President for Academic Affairs.

Corrective Action Plan
Beginning with the start of the 2019-2020 academic year the University of the Cumberlands
moved to an integrated enterprise resource planning (ERP) software system, Banner. Prior, the
University used separate, non-integrated platforms that required different methods to bridge
data and creating room for reporting deficiencies. To further ensure correct enrollment
reporting, Financial Aid and the Register have received training from Banner consultants with
expertise in registration and financial aid. The training focused on processes and the flow of
information between offices. As a measure of redundancy, financial aid will review students
that have withdrawn and been processed for Return of Title Four Funds (R2T4) with NSLDS
Enrollment Reporting. The Registrar will also be given access to make enrollment updates
through NSLDS. All updates to enrollment through NSLDS and/or National Student Clearing
House will be conducted by the Registrar unless express permission is given.

Anticipated Completion Date
All records with errors noted during the 2019 audit were corrected upon discovery. Records for
the 2019-2020 award year are currently under review for any discrepancies. Review will
continue throughout the current award year for students with changes in course load and
status of enrollment.
",N,815192,1,,
22123,161649,2019,2019-003,"Name of Contact Person:  Catherine Gwynn, Finance Director

Corrective Action:  The lateness of the financial audit was caused by a number of factors being the retirement of two key management personnel in the Finance Department (director and deputy director), deficiency in succession planning, lack of sufficient staffing in the Finance department, insufficient delegation of duties, lack of cross training, and inadequate written procedures.  A contributing factor was also Hurricane Florence in September 2018, and Coronavirus Pandemic in March, 2020 to present which further strained finance personnel resources.  The issues were handled as follows:

Staffing - City management hired an experienced and credentialed professional to help bridge the gap between the retiring finance director.  The new director hired an experienced professional to serve as the deputy director.  Upon assessment of the financial accounting system, structure and processes, the director began implementing critical improvements to the system to ensure accountability and adherence to federal, state and local laws, policy and procedures.  Training and counseling continues to be an ongoing process with all City staff related to finance matters.  Director requested and was granted the use of contract professional accounting assistance to help with recreating and reconciling the fiscal 2018 books to determine the various errors and misstatements, and reconciling the 2019 records.  Director requested and was granted one full time position in fiscal year 2020, which was filled in fiscal year 2021.  Director requested four full time positions in fiscal year 2021 for the critical functions of purchasing and inventory, accounts receivable and accounts payable, and only 2 positions for purchasing and inventory were approved.  Director requested and was granted part-time staff to assist with providing backups to critical functions such as payroll and accounts payable in fiscal 2021, and these positions were filled mid-year fiscal 2021.  Director has requested part-time staff to assist with providing backups to the critical function of accounts receivable and records management in fiscal 2022, and the outcome of which is yet to be determined.

Delegation of duties - With the addition of personnel, it is possible now to have at least one backup for the critical functions of payroll, accounts payable, purchasing and inventory.  It is now possible for the director and deputy director to delegate those inherited tasks that are more suitable for subordinate staff.  With the addition of staffing it allows director and deputy director to provide direction and oversight, as well as cross train on duties so that there is sufficient coverage to meet critical deadlines.

Written procedures - Director has implemented written procedures to assist staff in performing their tasks to include proper review and approval of transactions. Director has required staff to provide sufficient data backup and authorization for all transactions entered into the City’s accounting system. 

Proposed Completion Date:  Due to the number of reconciling issues encountered, the above measures were taken from July 2019 through April 2021.  Staffing has not been completed for several of the part time positions, and will be necessary in order to correct the finding.  The audit for fiscal year 2020 was delayed due to resolving the issues with fiscal year 2018 and 2019 and has not been completed as of April 18, 2021.  Management expects to have the audit for fiscal year 2020 completed no later than October 1, 2021.
",N,882744,1,,
107,109775,2019,2019-001,"Consolidated Health Centers and Affordable Care Act (ACA) Grants for 
  	New and Expanded Services – CFDA No. 93.224 and 93.527

Recommendation: Our auditors recommended the Organization take measures to ensure that appropriate sliding fee rates/categories are used for each sliding fee encounter.
Explanation of disagreement with audit finding: There is no disagreement with the audit finding.
Action taken in response to finding: The Organization is aware of the importance of properly applying the sliding fee scale to all eligible patients. We feel that we have strong policies and procedures to ensure this is performed accurately. However, the process is dependent on many individuals and is susceptible to human error. We will implement two new processes to mitigate this risk.
1.	Enrollment specialists will enter a patient’s exact Federal Poverty Level (FPL) when enrolling patients in our electronic health record. By entering the exact FPL, Enrollment Specialists can compare the patient’s actual FPL rating against the plan FPL rating that is selected.
2.	The Organization will begin auditing sliding fee applications on a monthly basis. More frequent audits will ensure that application information is accurately entered into our electronic health record. We will require all eligibility workers to maintain an error rate less than 5%.  If error rate exceeds 5% we will re-train and increase audit frequency.
Name(s) of the contact person(s) responsible for corrective action: Yazil Montanez and Edna Franco
Planned completion date for corrective action plan: July 31st, 2019

If the U.S. Department of Health and Human Services has questions regarding this plan, please call Yazil Montanez or Edna Franco at 303-412-8180 ext 2701 or ext 6033.
",N,804029,1,,
2442,241171,2019,2019-001,"RECOMMENDATION:  WE RECOMMEND THE ENTITY PERFORM A CALCULATION PRIOR TO EACH DRAW REQUEST TO DETERMINE THE AMOUNT THE ENTITY IS ABLE TO DRAW ON THE GRANT TO REMAIN IN COMPLIANCE WITH THE CASH MANAGEMENT REQUIREMENT.                                
                                                                                                                       
MANAGEMENT'S RESPONSE:  THE AUTHORITY AGREES WITH THIS FINDING.  WE WILL FOLLOW THE UNIFORM GUIDANCE AND FUNDING SOURCE INSTRUCTIONS FOR REQUESTING GRANT MONIES IN THE FUTURE.  THE AUTHORITY IS PERFORMING A MONTHLY CALCULATION TO DETERMINE THE AMOUNT THAT CAN BE SPENT TO REMAIN IN COMPLIANCE WITH THE CASH MANAGEMENT REQUIREMENT.                                          
                                                                                                                         
CORRECTED.                                                                                                                   
                                                                                                                             
PERSON RESPONSIBLE FOR IMPLEMENTING:  JOE REDMON, EXECUTIVE DIRECTOR.                                           
                                                                                                                
IMPLEMENTENTATION DATE:  SEPTEMBER 1, 2019.                                                 ",N,812583,1,,
2441,241171,2019,2019-002,"RECOMMENDATION:  WE RECOMMEND THE ENTITY PERFORM A CALCULATION PRIOR TO EACH DRAW REQUEST TO DETERMINE THE AMOUNT THE ENTITY IS ABLE TO DRAW TO MATCH 50% OF THE EXPENDITURES WITH THEIR OWN FUNDS AND REMAIN IN COMPLIANCE WITH THE MATCHING REQUIREMENT.                                
                                                                                                                       
MANAGEMENT'S RESPONSE:  THE AUTHORITY AGREES WITH THIS FINDING.  WE WILL FOLLOW THE UNIFORM GUIDANCE AND FUNDING SOURCE INSTRUCTIONS FOR REQUESTING FEDERAL MONIES IN THE FUTURE.  THE AUTHORITY IS PERFORMING A MONTHLY CALCULATION TO DETERMINE THE AMOUNT THAT CAN BE SPENT TO REMAIN IN COMPLIANCE WITH THE MATCHING REQUIREMENT.                                          
                                                                                                                         
CORRECTED.                                                                                                                   
                                                                                                                             
PERSON RESPONSIBLE FOR IMPLEMENTING:  JOE REDMON, EXECUTIVE DIRECTOR.                                           
                                                                                                                
IMPLEMENTENTATION DATE:  SEPTEMBER 1, 2019.",N,812583,1,,
2341,61656,2019,2019-001,"Finding Number: 2019-001 Exit Counseling

Planned Corrective Action:
1.	The Exit Counseling information page will be given to the student at the time of obtaining departure signatures.
2.	When feasible, Exit Counseling will be offered in the Financial Aid Director's office using the NSLDS Loan Exit Counseling service.
3.	When this is not possible, Exit Counseling information will be sent to the student via email and letter within 7-10 days.
4.	All actions will be documented in the student's e-file.
5.	When the Exit Counseling has been completed and the department notified, the completed copy of the Exit Counseling will be added to the student's e-file, as well as documented in the financial aid system.

Person Responsible for Corrective Action Plan: Financial Aid Director

Anticipated Date of Completion:  Exit Counseling information  will be added to the Departure  Form by 2020.01.13. All other items listed are to be implemented immediately.
",N,819637,1,,
2342,61656,2019,2019-002,"Finding Number: 2019-002 Federal Direct Loan Eligibility

Planned Corrective Action:
1.	When awarding, the system will not be relied on to accurately award students. All aid will be double checked with the Federal Student Aid Pell table and loan limits for accuracy. This is to avoid eligible students being deprived of Title N funds in the future, or being over-awarded.
2.	When awarding, the ISIR self-reported year of enrollment will not be used. All year of enrollment used to base FDL will be from actual transcripts.

Person Responsible for Corrective Action Plan: Financial Aid Director

Anticipated Date of Completion: Corrective Action will be in affect with the awarding of the Spring 2020 aid.
",N,819637,1,,
1246,160172,2019,2019-001,"In response to the North Colonie Central School District 2018-19 audit comments, please find the district's response and corrective action plan; 2019-001 Condition: During our testing of payroll expenditures charged to this program it was noted that two part-time tutors were being charged to this grant. The time and effort reports (payroll certifications) being signed by this individual acknowledging and noting that their salaries are being allocated to the Federal Program were not 
maintained by the District. District Response: The Director of Special Education will ensure that payroll certifications are obtained for all employees with Federal Program allocations. If you have any questions or need additional information, please contact me at 518-785-8591 ext. 3106. Sincerely, Scott M. Hoot, Assistant Superintendent for Business ",N,815106,1,,
4078,154044,2019,2019-001,"2019-001 SPECIAL TEST AND PROVISIONS - ENROLLMENT REPORTING                                                         
RECOMMENDATION: THE COLLEGE IMPLEMENT PROCEDURES TO STRICTLY COMPLY WITH REQUIREMENTS OF 34 CFR 685.309 AND 34 CFR 682.610 AS IT RELATES TO THE STUDENT ENROLLMENT STATUS DATE INFORMATION REPORTED TO THE NATIONAL STUDENT LOAN DATA SYSTEM (NSLDS). WE FURTHER RECOMMEND THE COLLEGE FOLLOW THE GUIDANCE PROVIDED IN THE NSLDS ENROLLMENT REPORTING GUIDE AND STAY ABREAST OF NEW GUIDANCE AS PUBLISHED BY THE DEPARTMENT OF EDUCATION.                                                                                CORRECTIVE ACTION TAKEN: THE COLLEGE HAS CORRECTED THE INDIVIDUALS DIRECTLY IN NSLDS. IN ADDITION, THE COLLEGE IS WORKING WITH SEVERAL DEPARTMENTS TO SEND A CORRECTED FILE TO UPDATE ALL STUDENTS WHO WERE AFFECTED FOR THE 18-19 SCHOOL YEAR. MOVING FORWARD, THE FINANCIAL AID OFFICE IS COORDINATING WITH THE REGISTRAR'S OFFICE TO SCHEDULE DATES FOR REPORTING ENROLLMENT SO THAT THEY CAN INCLUDE THE LAST RETURN OF TITLE IV FUNDS CALCULATIONS FOR THE TERMS.                                                                 ANTICIPATED COMPLETION DATE: CORRECTED AND ONGOING.",N,827765,1,,
