ELECAUDITSID,ID,AUDITYEAR,DBKEY,CFDASEQNUM,CFDA,FEDERALPROGRAMNAME,AMOUNT,MAJORPROGRAM,TYPEREQUIREMENT,QCOSTS2,FINDINGS,FINDINGREFNUMS,RD,DIRECT,CFDA_PREFIX,CFDA_EXT,EIN,CFDA2,TYPEREPORT_MP,TYPEREPORT_MP_OVERRIDE,ARRA,LOANS,FINDINGSCOUNT,LOANBALANCE,PASSTHROUGHAMOUNT,AWARDIDENTIFICATION,CLUSTERNAME,PASSTHROUGHAWARD,STATECLUSTERNAME,PROGRAMTOTAL,CLUSTERTOTAL,OTHERCLUSTERNAME,CFDAPROGRAMNAME
29516362,2900620181,2018,29006,1,93.958,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES,29126,N,,,,,,N,93,958,237014595,93,,,,N,0,,0,,,N,,29126,,,
29516363,2900620182,2018,29006,2,93.959,BLOCK GRANTS FOR PREVENTION AND TREATMENT OF SUBSTANCE ABUSE,774654,Y,,,,,,N,93,959,237014595,93,U,,,N,0,,0,,,N,,774654,,,
29378215,8906220181,2018,89062,1,93.053,NUTRITION SERVICES INCENTIVE PROGRAM,58287,Y,,,,,,N,93,053,591539957,93,U,,,N,0,,0,,AGING CLUSTER,N,,58287,522261,,
29378260,89062201810,2018,89062,10,20.513,ENHANCED MOBILITY OF SENIORS AND INDIVIDUALS WITH DISABILITIES,70800,Y,,,,,,N,20,513,591539957,20,U,,,N,0,,0,,TRANSIT SERVICES PROGRAMS CLUSTER,N,,183425,183425,,
29378262,89062201811,2018,89062,11,20.513,ENHANCED MOBILITY OF SENIORS AND INDIVIDUALS WITH DISABILITIES,47784,Y,,,,,,N,20,513,591539957,20,U,,,N,0,,0,,TRANSIT SERVICES PROGRAMS CLUSTER,N,,183425,183425,,
29378217,8906220182,2018,89062,2,93.044,"SPECIAL PROGRAMS FOR THE AGING_TITLE III, PART B_GRANTS FOR SUPPORTIVE SERVICES AND SENIOR CENTERS",124177,Y,,,,,,N,93,044,591539957,93,U,,,N,0,,0,,AGING CLUSTER,N,,124177,522261,,
29378219,8906220183,2018,89062,3,93.045,"SPECIAL PROGRAMS FOR THE AGING_TITLE III, PART C_NUTRITION SERVICES",339797,Y,,,,,,N,93,045,591539957,93,U,,,N,0,,0,,AGING CLUSTER,N,,339797,522261,,
29378220,8906220184,2018,89062,4,93.052,"NATIONAL FAMILY CAREGIVER SUPPORT, TITLE III, PART E",58012,N,,,,,,N,93,052,591539957,93,,,,N,0,,0,,,N,,58012,,,
29378221,8906220185,2018,89062,5,93.568,LOW-INCOME HOME ENERGY ASSISTANCE,44964,N,,,,,,N,93,568,591539957,93,,,,N,0,,0,,,N,,44964,,,
29378222,8906220186,2018,89062,6,20.507,FEDERAL TRANSIT_FORMULA GRANTS,2427419,N,,,,,,N,20,507,591539957,20,,,,N,0,,0,,FEDERAL TRANSIT CLUSTER,N,,2427419,2624136,,
29378247,8906220187,2018,89062,7,20.526,BUS AND BUS FACILITIES FORMULA PROGRAM,196717,N,,,,,,N,20,526,591539957,20,,,,N,0,,0,,FEDERAL TRANSIT CLUSTER,N,,196717,2624136,,
29378254,8906220188,2018,89062,8,20.509,FORMULA GRANTS FOR RURAL AREAS,66695,N,,,,,,N,20,509,591539957,20,,,,N,0,,0,,,N,,66695,,,
29378259,8906220189,2018,89062,9,20.513,ENHANCED MOBILITY OF SENIORS AND INDIVIDUALS WITH DISABILITIES,64841,Y,,,,,,N,20,513,591539957,20,U,,,N,0,,0,,TRANSIT SERVICES PROGRAMS CLUSTER,N,,183425,183425,,
30008633,9065320181,2018,90653,1,14.157,SUPPORTIVE HOUSING FOR THE ELDERLY,2284597,Y,,,,,,Y,14,157,592810381,14,U,,,Y,0,2284597,0,,,N,,2284597,,,
30008634,9065320182,2018,90653,2,14.182,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,501206,Y,,,,,,Y,14,182,592810381,14,U,,,N,0,,0,,SECTION 8 PROJECT-BASED CLUSTER,N,,501206,501206,,
30567036,11592420181,2018,115924,1,14.157,SUPPORTIVE HOUSING FOR THE ELDERLY,529107,Y,,,,,,Y,14,157,920072904,14,U,,,N,0,,0,,,N,,529107,0,,SUPPORTIVE HOUSING FOR THE ELDERLY
