ELECAUDITHEADERID,ID,AUDITYEAR,DBKEY,FYENDDATE,AUDITTYPE,PERIODCOVERED,NUMBERMONTHS,MULTIPLEEINS,EIN,EINSUBCODE,MULTIPLEDUNS,DUNS,AUDITEENAME,STREET1,STREET2,CITY,STATE,ZIPCODE,AUDITEECONTACT,AUDITEETITLE,AUDITEEPHONE,AUDITEEFAX,AUDITEEEMAIL,AUDITEEDATESIGNED,AUDITEENAMETITLE,CPAFIRMNAME,CPASTREET1,CPASTREET2,CPACITY,CPASTATE,CPAZIPCODE,CPACONTACT,CPATITLE,CPAPHONE,CPAFAX,CPAEMAIL,CPADATESIGNED,CPANAMETITLE,COG_OVER,COGAGENCY,TYPEREPORT_FS,REPORTABLECONDITION,MATERIALWEAKNESS,MATERIALNONCOMPLIANCE,GOINGCONCERN,TYPEREPORT_MP,DOLLARTHRESHOLD,LOWRISK,REPORTREQUIRED,TOTFEDEXPEND,COPIES,REPORTABLECONDITION_MP,MATERIALWEAKNESS_MP,QCOSTS,CYFINDINGS,PYSCHEDULE,DUP_REPORTS,COG_AGENCY,OVERSIGHTAGENCY,DATERECEIVED,DATEFIREWALL,PREVIOUSDATEFIREWALL,FINDINGREFNUM,TYPEOFENTITY,IMAGE,AGENCYCFDA,INITIALDATE,DATERECEIVEDOTHER,MULTIPLE_CPAS,AUDITEECERTIFYNAME,AUDITEECERTIFYTITLE,FACACCEPTEDDATE,AUDITOR_EIN,SD_MATERIALWEAKNESS,SD_MATERIALWEAKNESS_MP,SIGNIFICANTDEFICIENCY,SIGNIFICANTDEFICIENCY_MP,SP_FRAMEWORK,SP_FRAMEWORK_REQUIRED,TYPEREPORT_SP_FRAMEWORK,SUPPRESSION_CODE,ENTITY_TYPE,TYPEAUDIT_CODE,OPEID,DATETOED,DATEFINISHED,TYPEFINDING,TYPEFUNDING,FYSTARTDATE,CPAFOREIGN,UEI,MULTIPLEUEIS,CPACOUNTRY
1294869,744102018,2018,74410,06/30/2018 00:00:00,S,A,,N,521180710,,N,093958312,"CARDINAL SHEHAN CENTER, INC.  052-11168",2300 DULANEY VALLEY ROAD,,TIMONIUM,MD,21093,KAREN CLAIBORNE,FINANCIAL ANALYST,4102524500,,KCLAIBORNE@STELLAMARIS.ORG,03/31/2019 00:30:53,STEPHEN STINNETTE-SVP OF FINANCE & CFO,"DIXON HUGHES GOODMAN, LLP",9801 WASHINGTONIAN BLVD,,GAITHERSBURG,MD,20878,RINA YEE,DIRECTOR,2404033700,,RINA.YEE@DHG.COM,03/30/2019 11:02:35,,O,,U,N,N,N,N,U,750000,Y,,5451772,,N,N,N,N,N,N,,14,03/31/2019 00:00:00,04/02/2019 01:30:39,,N,903,1,x00,03/31/2019 00:00:00,,N,STEPHEN STINNETTE,SVP OF FINANCE & CFO,03/31/2019 00:00:00,560747981,N,,N,N,,,,,Non-profit,UG,,,,,,07/01/2017 00:00:00,,,,
1281226,1969382018,2018,196938,06/30/2018 00:00:00,S,A,,N,421173519,,N,961065547,SIOUXLAND REGIONAL HOUSING AUTHORITY,PO BOX 446,,SPENCER,IA,51301,LOIS KOELDER,EXECUTIVE DIRECTOR,7122627460,,LKOELDER@NCN.NET,12/20/2018 15:25:23,LOIS KOELDER-EXECUTIVE DIRECTOR,"NIEWEDDE & WIENS, CPA'S",PO BOX 98,,YORK,NE,68467,JEFF WIENS,PARTNER,4023624410,,JEFF@NWCPAS.NET,12/20/2018 14:13:38,,O,,U,N,N,N,N,U,750000,N,,1051705,,N,N,N,N,Y,N,,14,12/20/2018 00:00:00,12/27/2018 01:30:21,,N,403,1,x00x14,12/20/2018 00:00:00,,N,LOIS KOELDER,EXECUTIVE DIRECTOR,12/20/2018 00:00:00,470812943,N,,N,N,,,,,Local government,UG,,,,,,07/01/2017 00:00:00,,,,
1275810,2465242018,2018,246524,06/30/2018 00:00:00,S,A,,N,352297207,,N,013269430,MONSOON ASIANS & PACIFIC ISLANDERS IN SOLIDARITY,4952 FRANKLIN AVENUE,,DES MOINES,IA,50310,MIRA YUSEF,EXECUTIVE DIRECTOR,5152880881,,MIRA@MONSOONIOWA.ORG,12/11/2018 11:38:06,MIRA YUSEF-EXECUTIVE DIRECTOR,"MERIWETHER, WILSON AND COMPANY, PLLC","500 WESTOWN PARKWAY, SUITE 140",,WEST DES MOINES,IA,502666717,WILLIAM J. BAUER,MEMBER,5152230002,,WJBCPA@MWCPLC.COM,12/11/2018 11:03:24,,O,,U,Y,N,N,N,U,750000,N,,923141,,Y,N,N,Y,Y,N,,16,12/11/2018 00:00:00,12/13/2018 01:30:20,,N,888,1,x16,12/11/2018 00:00:00,,N,MIRA YUSEF,EXECUTIVE DIRECTOR,12/11/2018 00:00:00,420731256,N,,Y,Y,,,,,Non-profit,UG,,,,,,07/01/2017 00:00:00,,,,
1292263,2066172018,2018,206617,06/30/2018 00:00:00,S,A,,N,836000105,,N,622951747,"CONVERSE COUNTY, WYOMING","107 N 5TH STREET, STE 114",,DOUGLAS,WY,826332448,LUCILE TAYLOR,COUNTY CLERK,3073582244,,LUCILE.TAYLOR@CONVERSECOUNTYWY.GOV,03/28/2019 13:06:17,LUCILE TAYLOR-CONVERSE COUNTY CLERK,"PORTER, MUIRHEAD, CORNIA & HOWARD",PO BOX 2750,,CASPER,WY,826022750,"ALEXANDRA H. WILKINSON, CPA",SHAREHOLDER,3072654311,,AWILKINSON@PMCH.COM,03/28/2019 13:12:56,,O,,U,N,Y,N,N,U,750000,N,,898071,,N,N,N,N,N,N,,20,03/28/2019 00:00:00,03/30/2019 01:30:38,,N,100,1,x00,03/28/2019 00:00:00,,N,LUCILE TAYLOR,CONVERSE COUNTY CLERK,03/28/2019 00:00:00,830220400,Y,,N,N,,,,,Local Government,UG,,,,,,07/01/2017 00:00:00,,,,
1301065,1159242018,2018,115924,09/30/2018 00:00:00,S,A,,N,920072904,,N,,AVCP DEVELOPMENT CORPORATION 176-35019,PO BOX 767,,BETHEL,AK,99559,JEFF LOWREY,CONTROLLER,9075432270,,JEFF@AVCPHOUSING.ORG,06/26/2019 18:26:04,JEFF LOWREY-VP FINANCE,"NEWHOUSE & VOGLER, CPAS","237 E FIREWEED LANE, SUITE 200",,ANCHORAGE,AK,99503,JOSEPH NEWHOUSE,PRINCIPAL,9072587555,,NVAUDITORS@NEWVOG.COM,06/26/2019 18:43:36,,O,,U,N,N,N,N,U,750000,Y,,761138,,N,N,N,N,N,N,,14,06/26/2019 00:00:00,06/29/2019 01:31:16,,N,903,1,x00,06/26/2019 00:00:00,,N,JEFF LOWREY,VP FINANCE,06/26/2019 00:00:00,920133179,N,,N,N,,,,,Non-profit,UG,,,,,,10/01/2017 00:00:00,,,,US
1280861,2357832018,2018,235783,06/30/2018 00:00:00,S,A,,N,232978010,,N,078401038,EASTERN NORTH PHILADELPHIA WORKFORCE DEVELOPMENT CORPORATION,4261 NORTH 5TH STREET,,PHILADELPHIA,PA,19140,ARTEMIO RODRIGUEZ,CONTROLLER,2153240746,,ARODRIGUEZ@ESPERANZA.US,12/20/2018 12:31:32,ARTEMIO RODRIGUEZ-CONTROLLER,"WITHUMSMITH+BROWN, P.C.","TWO LOGAN SQUARE, 18TH AND ARCH STREETS",,PHILADELPHIA,PA,19103,ERIC STRAUSS,PARTNER,2155462140,,ESTRAUSS@WITHUM.COM,12/19/2018 16:47:26,,O,,U,N,N,N,N,U,750000,Y,,4139593,,N,N,N,N,N,N,,93,12/20/2018 00:00:00,12/22/2018 01:30:20,,N,909,1,x00,12/20/2018 00:00:00,,N,ARTEMIO RODRIGUEZ,CONTROLLER,12/20/2018 00:00:00,222027092,N,,N,N,,,,,Non-profit,UG,,,,,,07/01/2017 00:00:00,,,,
1294951,2321142018,2018,232114,12/31/2018 00:00:00,S,A,,N,204552620,,N,,"REBA BROWN SENIOR RESIDENCE, INC. 034-EE141",8301 ROOSEVELT BLVD,,PHILADELPHIA,PA,19153,JUDY ZDUNKIEWICZ,FINANCE DIRECTOR,2156240351,,JZDUNKIEWICZ@BHPSERVICES.ORG,04/01/2019 10:46:48,JUDY ZDUNKIEWICZ-DIRECTOR OF FINANCE,SOBEL & CO. LLC,293 EISENHOWER PARKWAY,,LIVINGSTON,NJ,07039,RON MATAN,PARTNER,9739949494,,RON.MATAN@SOBEL-CPA.COM,04/01/2019 10:47:44,,O,,U,N,N,N,N,U,750000,N,,10570404,,Y,Y,N,Y,Y,N,,14,04/01/2019 00:00:00,04/06/2019 01:30:39,,N,903,1,x14,04/01/2019 00:00:00,,N,JUDY ZDUNKIEWICZ,DIRECTOR OF FINANCE,04/01/2019 00:00:00,221430039,N,,N,Y,,,,,Non-profit,UG,,,,,,01/01/2018 00:00:00,,,,
1298448,1833322018,2018,183332,12/31/2018 00:00:00,S,A,,N,222596548,,N,842976409,TERRYVILLE RETIREMENT COMMUNITY CORPORATION,20 EAST ORCHARD STREET,,TERRYVILLE,CT,067866120,GERALD WUNSCH,PRESIDENT,8605895718,,ELITERRY@EHMCHM.ORG,06/07/2019 12:25:05,GERRY-PRESIDENT,"ALAN J. TUCKER, CPA",26 HONEY HILL RD,,NORWALK,CT,068511620,"ALAN J. TUCKER,CPA",OWNER,2038471323,,AJTUCKER@OPTONLINE.NET,06/07/2019 12:21:56,,O,,U,N,N,N,N,U,750000,Y,,2031089,,N,N,N,N,N,N,,10,06/07/2019 00:00:00,06/11/2019 01:30:41,,N,903,1,x00,06/07/2019 00:00:00,,N,GERRY,PRESIDENT,06/07/2019 00:00:00,061094568,N,,N,N,,,,,Non-profit,UG,,,,,,01/01/2018 00:00:00,,,,US
1296729,554562018,2018,55456,09/30/2018 00:00:00,S,A,,N,381791181,,N,076389618,"CAPITAL AREA COMMUNITY SERVICES, INC.",101 E WILLOW,,LANSING,MI,489064814,MIGUEL RODRIGUEZ,EXECUTIVE DIRECTOR,5174826281,,MIGUEL@CACSMI.ORG,05/15/2019 16:18:06,MIGUEL RODRIGUEZ-EXECUTIVE DIRECTOR,MANER COSTERISAN,"2425 EAST GRAND RIVER AVE., SUITE 1",,LANSING,MI,48912,WILLIAM I. TUCKER IV,PRINCIPAL,5173237500,,BTUCKER@MANERCPA.COM,05/08/2019 17:32:18,,O,,U,N,Y,N,N,U,750000,N,,20954156,,N,N,N,N,N,N,,93,05/15/2019 00:00:00,05/17/2019 01:30:39,,N,908,1,x00,05/15/2019 00:00:00,,N,MIGUEL RODRIGUEZ,EXECUTIVE DIRECTOR,05/15/2019 00:00:00,382157642,Y,,N,N,,,,,Local government,UG,,,,,,10/01/2017 00:00:00,,,,
1279794,1455492018,2018,145549,06/30/2018 00:00:00,S,A,,N,480732624,,N,193521770,CLOUD COUNTY COMMUNITY COLLEGE,2221 CAMPUS DRIVE,,CONCORDIA,KS,66901,MARY LABARGE,DIRECTOR OF ACCOUNTING SERVICES,7852431435,,MLABARGE@CLOUD.EDU,01/03/2019 12:06:33,MARY LABARGE-DIRECTOR OF ACCOUNTING SERVICES,"JARRED, GILMORE & PHILLIPS, PA","1815 S SANTA FE, PO BOX 779",,CHANUTE,KS,667200779,NEIL L PHILLIPS,AUDITOR IN CHARGE,6204316342,,NPHILLIPS@JGPPA.COM,12/14/2018 12:49:15,,O,,U,N,N,N,N,U,750000,Y,,4868381,,N,N,N,N,N,N,,84,01/03/2019 00:00:00,01/05/2019 01:30:20,,N,504,1,x00,01/03/2019 00:00:00,,N,MARY LABARGE,DIRECTOR OF ACCOUNTING SERVICES,01/03/2019 00:00:00,203906022,N,,N,N,,,,,Institution of higher education (IHE),UG,00190900,02/01/2019 11:57:21,02/07/2019 09:35:49,N,B,07/01/2017 00:00:00,,,,
1300645,1481242018,2018,148124,06/30/2018 00:00:00,S,A,,N,046001335,,N,018338749,"TOWN OF WARE, MASSACHUSETTS ",126 MAIN ST,,WARE,MA,010821370,TRACY MEEHAN,TOWN ACCOUNTANT,4139679648,,TMEEHAN@TOWNOFWARE.COM,06/14/2019 11:33:03,TRACY MEEHAN-TOWN ACCOUNTANT,"SCANLON & ASSOCIATES, LLC",8 TINA DRIVE,,SOUTH DEERFIELD,MA,01373,"THOMAS J. SCANLON, JR.",PARTNER,4136654001,,TSCANLONJR@COMCAST.NET,06/19/2019 07:19:59,,O,,U,N,N,N,N,U,750000,N,,2584514,,N,N,N,N,N,N,,97,06/19/2019 00:00:00,06/21/2019 01:30:40,,N,300,1,x00,06/19/2019 00:00:00,,N,TRACY MEEHAN,TOWN ACCOUNTANT,06/19/2019 00:00:00,270371224,N,,N,N,,,,,Local government,UG,,06/20/2019 15:07:36,06/25/2019 15:24:12,N,G,07/01/2017 00:00:00,,,,US
1272185,1384302018,2018,138430,06/30/2018 00:00:00,S,A,,N,826000843,,N,100015098,LAPWAI SCHOOL DISTRICT NO. 341,404 S MAIN ST,,LAPWAI,ID,83540,NATHAN WEEKS,BUSINESS MANAGER,2088432622,,NWEEKS@LAPWAI.ORG,10/23/2018 12:05:46,NATHAN WEEKS-BUSINESS MANAGER,"GOFFINET & CLACK, CHARTERED",PO BOX 629,,OROFINO,ID,835440629,STEVE R CLACK,AUDITOR,2084765587,,SCLACK@IDAHO.NET,10/22/2018 12:03:12,,O,,Q,N,N,N,N,U,750000,Y,,4515931,,N,N,N,N,N,N,,84,10/23/2018 00:00:00,10/25/2018 01:30:21,,N,505,1,x00,10/23/2018 00:00:00,,N,NATHAN WEEKS,BUSINESS MANAGER,10/23/2018 00:00:00,820357225,N,,N,N,,,,,Local government,UG,,10/24/2018 11:54:18,10/25/2018 13:12:05,N,G,07/01/2017 00:00:00,,,,
1289977,1646152018,2018,164615,06/30/2018 00:00:00,S,A,,N,316400889,,N,831371695,PORTSMOUTH CITY SCHOOL DISTRICT,724 FINDLAY STREET,,PORTSMOUTH,OH,45662,DIANNA REEDY,TREASURER,7403544810,,DIANNA.REEDY@PORTSMOUTHTROJANS.NET,03/28/2019 10:28:02,DIANNA REEDY-DIANNA REEDY,"KEITH FABER, AUDITOR OF STATE",88 EAST BROAD STREET,,COLUMBUS,OH,432153506,"LOREN S. CRISP, CPA",CHIEF AUDITOR,5133618550,,DCF-SOUTHWEST@OHIOAUDITOR.GOV,03/26/2019 12:49:58,,O,,U,N,N,N,N,U,750000,Y,,3500168,,N,N,N,N,N,N,,84,03/28/2019 00:00:00,03/30/2019 01:30:38,,N,505,1,x00,03/28/2019 00:00:00,,N,DIANNA REEDY,DIANNA REEDY,03/28/2019 00:00:00,311334820,N,,N,N,,,,,Local government,UG,,04/15/2019 09:17:19,04/18/2019 09:30:48,N,G,07/01/2017 00:00:00,,,,
1284281,1143182018,2018,114318,09/30/2018 00:00:00,S,A,,N,910956784,,N,361952153,DISABILITY RIGHTS WASHINGTON,315 5TH AVE SOUTH SUITE 850,,SEATTLE,WA,98104,MARK STROH,EXECUTIVE DIRECTOR,2063241521,,MSTROH@DR-WA.ORG,04/02/2019 11:48:22,TOM HAZELTINE-DRW CONTROLLER,PETERSON SULLIVAN LLP,601 UNION STREET #2300,,SEATTLE,WA,98101,RAY HOLMDAHL,PARTNER,2063827777,,MMATSON@PSCPA.COM,03/16/2019 12:22:16,,O,,U,N,N,N,N,U,750000,Y,,2615680,,N,N,N,N,N,Y,,93,04/02/2019 00:00:00,04/09/2019 01:30:39,,N,909,1,x00,04/02/2019 00:00:00,,N,TOM HAZELTINE,DRW CONTROLLER,04/02/2019 00:00:00,910605875,N,,N,N,,,,,Non-profit,UG,,05/03/2019 11:42:16,05/09/2019 09:07:50,N,G,10/01/2017 00:00:00,,,,
1309428,2025702018,2018,202570,12/31/2018 00:00:00,S,A,,N,311010575,,N,123580011,SOUTHVIEW COURTS INC HUD NO 073-EH082-L8-NP-WAH,615 W. HIGH STREET,,LIBERTY,IN,47353,TRISHA PERSINGER,EXECUTIVE DIRECTOR,7654585500,,WITHAMTRISHA_UCAA@YAHOO.COM,09/26/2019 15:13:50,TRISHA WITHAM-EXECUTIVE DIRECTOR,RBSK PARTNERS PC,224 N BROADWAY STREET,,GREENSBURG,IN,47240,RONALD J. KNUEVEN,PATNER,8126637567,,RKNUEVEN@RBSKPARTNERS.COM,09/26/2019 15:08:42,,O,,U,Y,N,N,N,U,750000,Y,,1626202,,N,N,N,N,N,N,,14,09/26/2019 00:00:00,09/28/2019 01:30:12,,N,903,1,x00,09/26/2019 00:00:00,,N,TRISHA WITHAM,EXECUTIVE DIRECTOR,09/26/2019 00:00:00,202213517,N,,Y,N,,,,,Non-profit,UG,,,,,,01/01/2018 00:00:00,,,,US
1263548,2044272018,2018,204427,02/28/2018 00:00:00,S,A,,N,860871311,,N,116027538,AJO COMMUNITY HEALTH CENTER DBA DESERT SENITA COMMUNITY HEALTH CARE,410 MALACATE STREET,,AJO,AZ,85321,JONATHAN LEONARD,CEO,5203875652,,JLEONARD@DESERTSENITA.ORG,09/05/2018 17:16:09,JONATHAN LEONARD-CEO,"FESTER & CHAPMAN, PLLC","9019 E BAHIA DRIVE, SUITE 100",,SCOTTSDALE,AZ,852601553,KEVIN CAMBERG,PARTNER,6022643077,,KCAMBERG@F-CPC.COM,09/07/2018 17:08:38,,O,,U,N,N,N,N,U,750000,Y,,3027190,,N,N,N,N,N,N,,93,09/07/2018 00:00:00,09/11/2018 01:30:20,,N,908,1,x00,09/07/2018 00:00:00,,N,JONATHAN LEONARD,CEO,09/07/2018 00:00:00,821455657,N,,N,N,,,,,Non-profit,UG,,,,,,03/01/2017 00:00:00,,,,
