ID,AUDITYEAR,DBKEY,ELECAUDITSID,PASSTHROUGHNAME,PASSTHROUGHID
2097637,2018,29006,29516363,STATE OF FLORIDA DEPARTMENT OF CHILDREN & FAMILIES,34358-17-3
2097633,2018,29006,29516362,STATE OF FLORIDA DEPARTMENT OF CHILDREN & FAMILIES,34358-17-3
2002711,2018,89062,29378217,"FLORIDA DEPT OF ELDER AFFAIRS, AREA AGENCY ON AGING",IA016-9300
2002719,2018,89062,29378247,INDIAN RIVER COUNTY,ARE87
2002714,2018,89062,29378221,"FLORIDA DEPT OF ELDER AFFAIRS, AREA AGENCY ON AGING",IP015-9300
2002712,2018,89062,29378219,"FLORIDA DEPT OF ELDER AFFAIRS, AREA AGENCY ON AGING",IA016-9300
2002715,2018,89062,29378222,INDIAN RIVER COUNTY,FL-90
2002724,2018,89062,29378254,INDIAN RIVER COUNTY,ARQ46
2002713,2018,89062,29378220,"FLORIDA DEPT OF ELDER AFFAIRS, AREA AGENCY ON AGING",IA016-9300
2002729,2018,89062,29378259,INDIAN RIVER COUNTY,YR41
2002732,2018,89062,29378262,INDIAN RIVER COUNTY,GO178
2002710,2018,89062,29378215,"FLORIDA DEPT OF ELDER AFFAIRS, AREA AGENCY ON AGING",IU016-9300
2002730,2018,89062,29378260,INDIAN RIVER COUNTY,GO891
1994475,2018,129817,29363929,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT ,
1994511,2018,129817,29363976,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,
1994519,2018,129817,29363980,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,
1994479,2018,129817,29363933,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,
1994482,2018,129817,29363936,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,
1994437,2018,129817,29363874,UNIVERSITY OF ALASKA FAIRBANKS,S356A150061
1994441,2018,129817,29363878,KETCHIKAN INDIAN COMMUNITY,
1994510,2018,129817,29363972,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,
